"MARKINCH (CARRISTON RESERVOIR)",,,,,,,,,,,,
Grid ref,NO327036,Long,-3.086843,Lat,56.220187,,,,,,,
Station no,1309213,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.79,1.72,6.53,2.80,0.76,3.80,1.52,3.40,2.60,,
February,,1.61,1.50,5.64,4.14,1.04,1.64,1.47,1.22,1.38,,
March,,2.10,1.61,4.13,2.15,2.94,2.40,2.52,4.73,4.28,,
April,,2.24,1.52,0.86,3.02,2.21,1.01,1.73,1.70,3.96,,
May,,2.78,2.16,1.23,3.24,1.82,6.10,4.06,2.11,4.06,,
June,,2.64,1.82,2.40,1.23,0.69,1.77,4.40,1.44,1.89,,
July,,0.54,3.25,4.72,1.83,1.61,1.38,2.84,3.57,4.73,,
August,,3.59,2.11,4.84,5.27,3.42,5.11,3.92,3.10,2.56,,
September,,2.16,1.62,2.50,2.75,1.88,1.19,1.20,5.84,1.92,,
October,,2.06,1.70,5.94,1.12,2.19,6.11,8.08,3.30,4.60,,
November,,2.18,2.20,1.70,0.87,5.34,3.78,2.14,2.41,0.46,,
December,,4.80,3.57,1.95,4.15,2.40,1.76,3.97,1.17,4.06,,
Total,,29.49,24.78,42.44,32.57,26.30,36.05,37.85,33.99,36.50,,
Calc annual,0.00,29.49,24.78,42.44,32.57,26.30,36.05,37.85,33.99,36.50,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
