STOER,,,,,,,,,,
Grid ref,NC035290,Long,-5.346004,Lat,58.205857,Elevation ,250,ft,,
Station no,5805/8,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,3.35,4.17,,,,
February,,,,,2.7,6.35,,,,
March,,,,,2.37,1.76,,,,
April,,,,,1.62,4.13,,,,
May,,,,,2.88,1.14,,,,
June,,,,,3.55,3.44,,,,
July,,,,,2.94,6.43,,,,
August,,,,,4.02,4.17,,,,
September,,,,,4.1,4.63,,,,
October,,,,6.51,2.05,0.82,,,,
November,,,,3.67,1.36,3.71,,,,
December,,,,4.89,3.39,4.14,,,,
Total,,,,,34.33,44.89,,,,
,,,,,,,,,,
G move 1948,,,,,,,,,,
,,,,,,,,,,
Station no,5805/8,,,,,,,,,
Midas,14296,,,,,,,,,
Hyd Stn,,,,,,,,,,
