"STOER",,,,,,,,,,,,
Grid ref,NC035290,Long,-5.346004,Lat,58.205857,,,,,,,
Station no,5805/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.51,6.75,-999.00,2.65,3.32,5.17,,5.51,7.07,3.23,,
February,3.38,4.41,,2.71,3.70,2.98,,3.65,1.53,2.61,,
March,3.55,4.30,,2.90,3.26,0.75,,2.97,1.72,1.41,,
April,4.53,1.25,,1.55,2.07,-999.00,,2.55,4.20,2.74,,
May,0.68,2.87,,1.90,2.80,,,4.67,1.91,2.07,,
June,2.39,3.31,,5.07,2.27,,,1.42,3.64,2.38,,
July,3.47,3.78,,3.24,0.58,,3.28,1.04,4.91,2.39,,
August,3.02,3.98,,2.12,1.48,,4.48,2.39,2.90,3.26,,
September,2.60,,,3.87,4.84,,3.37,2.69,3.14,3.18,,
October,4.80,,,7.57,6.71,,6.70,5.40,5.07,1.55,,
November,4.59,,-999.00,4.97,2.40,,3.02,2.51,3.33,3.31,,
December,7.97,,4.36,6.02,4.66,-999.00,6.94,3.18,4.42,4.16,,
Total,45.49,,-999.00,44.57,38.09,-999.00,,37.98,43.84,32.29,,
Calc annual,45.49,30.65,4.36,44.57,38.09,8.90,27.79,37.98,43.84,32.29,,
Difference,0.00,NaN,-1003.36,-0.00,0.00,-1007.90,NaN,-0.00,0.00,-0.00,,
