WHITEABBEY (KNOCKINAGH),,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ340834,Long,-5.9219876,Lat,54.681582,Elevation,200,ft,,,,,,,,,,,,,
Station no,6218,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,4.17,4.02,3.06,4.4,3.6,6.79,2.27,4.97,3.99,3.22,,,,,,,,
February,,,,5.58,1.05,3.85,3.85,2.06,4.3,3.7,0.7,4.1,0.15,,,,,,,,
March,,,,1.99,1.85,1.34,1.78,2.58,3.73,0.69,2.23,1.26,2.19,,,,,,,,
April,,,,3.46,2.98,3.6,2.34,1.76,1.67,1.35,1.6,2.81,3.3,,,,,,,,
May,,,,1.83,4.73,6.48,2.29,1.64,1.39,2.66,2.02,4.21,2.34,,,,,,,,
June,,,,1.02,3.49,0.42,2.07,3.84,4.36,3.11,1.71,5.59,1.72,,,,,,,,
July,,,,2.52,3.83,3.55,4.04,2.85,1.95,2.88,3.37,3.04,4.76,,,,,,,,
August,,,,6.03,3.84,1.77,5.03,2.84,3.93,5.87,6.25,3.27,2.66,,,,,,,,
September,,,,4.26,5.53,3.71,2.65,5.7,2.28,1.07,4.69,1.89,3.4,,,,,,,,
October,,,,4.15,2.18,3.3,3.81,3.13,6.59,4.57,5.47,2.23,,,,,,,,,
November,,,,3.54,3.6,2.01,4.53,4.04,5.63,5.37,4.61,6.59,,,,,,,,,
December,,,,4.62,4.17,4.05,1.39,2.83,4.37,8.43,4.33,2.96,,,,,,,,,
Total,,,,43.17,41.27,37.14,38.18,36.87,46.99,41.97,41.95,41.94,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1923 arithmetic incorrect on record,,,,,,,,,,,,,,,,,,,,,
