WEST-LAVINGTON-DAUNTSEYS-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU000535,Long,-2.0013842,Lat,51.280642,Elevation,305,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1478/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,1.25,1.38,3.39,,,,,,,,,,,,,,,,,,,,,5.55,2.02,2.69,3.79,5.95,1.91,1.74,2.85,2.61,4.93,0.93,0.37,3.54,2.54,0.73,1.69,2.99,4.1,2.46,2.92,4.88,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,4.26,0.96,0.95,,,,,,,,,,,,,,,,,,,,,1.26,2.73,3.03,0.56,1.17,0.79,2.3,2.35,0.76,0.91,1.78,5.75,4.88,0.51,1.53,2.88,1.7,0.12,3.47,2.98,0.27,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.13,3.59,3.23,0.99,,,,,,,,,,,,,,,,,,,,,1.58,1.86,3.14,1.96,0.65,0.34,1.07,0.66,5.49,0.9,1.08,1.23,3.67,2.76,0.71,2.81,1.36,1.05,1.88,1.75,3.18,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.93,0.79,2.36,2.87,,,,,,,,,,,,,,,,,,,,,2.68,2.7,1.05,2.2,0.58,1.43,0.84,2.22,2.24,1.69,1.47,2.38,3.18,1.86,2.72,0.3,0.77,1.58,0.29,0.72,2.58,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,3.54,1.54,2.53,1.97,,,,,,,,,,,,,,,,,,,,,0.92,1.08,1.98,5.1,2.64,0.51,2.22,3.75,2.57,4.42,2.2,2.68,2.72,4.99,2.11,2.52,3.88,0.27,1.75,3.25,1.59,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.54,2.17,3.05,1.13,,,,,,,,,,,,,,,,,,,,,2.87,0.56,2.79,0.51,1.48,1.98,3.49,2.32,1.4,2.21,0.41,1.58,0.81,1.44,1.67,4.12,3.29,1.57,1.54,2.68,0.9,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,3.83,1.02,3.06,5.79,,,,,,,,,,,,,,,,,,,,,5.31,2.5,1.9,2,2.31,2.48,1.28,0.7,2.1,0.81,1.38,4.91,1.05,0.67,3.3,2.83,0.81,1.83,2.76,2.25,1.34,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,3.2,5.04,7.07,1.75,,,,,,,,,,,,,,,,,,,,,2.19,0.1,3.96,4.72,,2.58,2,4.75,0.78,3.53,1.45,3.16,4.71,4.03,2.04,3.29,0.41,3.18,3.11,3.01,1.4,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,1.57,2.01,1.45,6.02,,,,,,,,,,,,,,,,,,,,,1.63,1.29,0.76,1.6,1.78,2.47,2.65,4.27,1.28,2.95,1.77,3.95,2.49,2.62,3.26,2.86,1.43,2.79,2.86,3.64,0.08,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,4.9,5.14,5.03,1.58,,,,,,,,,,,,,,,,,,,,,3.27,3.22,1.59,4.32,3.54,4.02,3.22,1.43,0.43,3.34,7.19,0.99,0.67,3.96,4.31,2.29,2.26,1.62,2.45,2.07,2.14,8.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
