WEYBRIDGE-WEYLAND-S-WKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ125656,Long,-0.38495,Lat,51.3783,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,144/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.86,2.29,2.18,2.69,4.31,1.35,1.53,1.4,1.28,3.18,1.1,0.79,3.55,1.77,0.88,0.97,2.65,3.64,1.39,1.81,2.13,1.9
February,,,,,,,,,1.09,1.25,1.84,0.56,1.34,0.67,1.28,2.02,1.07,0.86,0.89,3.64,5.65,0.77,1.13,2.05,1.29,0.22,2.83,1.89,0.07,1.69
March,,,,,,,,0.21,0.89,2.96,3.44,1.77,0.34,0.04,0.88,0.95,4.36,0.61,0.96,0.67,3.22,2.29,0.39,1.98,0.9,0.51,0.85,1.07,1.79,1.3
April,,,,,,,,0.06,2.32,1.94,1.45,0.98,0.74,1.23,1.12,2.47,1.51,1.06,1.83,2.51,2.58,1.3,1.9,0.29,0.23,1.25,0.21,1.04,2.04,0.56
May,,,,,,,,1.49,1.49,1.22,1.61,2.68,1.9,0.78,1.69,2.94,1.25,1.71,3.16,1.17,1.79,2.3,1.43,2.52,3.38,0.18,1.36,2.44,0.95,1.85
June,,,,,,,,0.65,1.23,0.61,2.1,0.59,1.12,2.08,1.52,2.37,2.18,2.62,0.57,1.63,0.95,1.71,1.38,3.73,2.01,1.73,1.16,3.69,0.74,1.73
July,,,,,,,,1.05,1.95,2.42,2.99,1.73,1.73,2.18,3.33,2.37,2.67,0.83,1.05,3.42,1.45,0.5,3.55,2.38,0.24,5.18,2.78,1.77,1.46,2.54
August,,,,,,,,2.15,2.05,0.11,5.08,2.34,1.2,2.39,1.36,4.1,0.39,3.32,1.64,1.77,2.64,3.61,1.47,2.69,1.28,2.85,2.82,3.86,1.11,2.79
September,,,,,,,,1.76,0.86,1.26,0.39,0.8,1.68,1.96,1.91,2.83,1.02,1.05,0.42,2.65,2.5,2.96,2.22,2.03,1.6,2.12,2.58,4.02,0.08,2.12
October,,,,,,,,2.26,4.74,2.25,0.86,3.39,2.57,2.66,2.26,0.98,0.14,1.71,5.17,0.35,0.76,2.43,2.8,1.93,2.48,1.79,1.45,2.12,2.35,5.8
November,,,,,,,,3.28,4.47,6.76,2.48,1.85,1.23,3.36,0.39,3.3,0.89,1.35,2.08,4.87,6.06,2.62,1.2,3.87,1.07,0.48,2.34,1.71,2.52,3.75
December,,,,,,,,3.49,0.99,1.13,1.63,2.37,1.39,1.38,2.92,2.14,2.46,2.57,1.24,1.54,2.02,2.13,0.59,1.99,1.93,2.96,1.58,2.5,3.09,2.2
Total,,,,,,,,,25.94,24.2,26.05,21.75,19.55,20.08,20.19,27.87,19.22,20.87,20.11,25.01,33.17,24.39,18.94,26.43,19.06,22.91,21.35,27.92,18.33,28.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Jan 1 to Feb 5 Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Dec 7 Inspection Good exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Nov 25 Inspection Gauge sound Measure tapered Site reasonable If shrubs to E are removed gauge will be o/e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note says on inspection the gauge was identified as an 8in not a 5in gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
