HIGH-BRAY-RECTORY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS690342,Long,-3.87109,Lat,51.09247,Elevation,700,ft,,,,,,,,,,,,,
Station no,1843,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,2.71,6.7,6.46,6.02,3.28,4.9,1.73,5.55,7.05,,,
February,,,,,,,,,,1.92,1.68,6.74,0.06,4.06,0.6,5.1,2.61,9.23,,,
March,,,,,,,,,,0.77,3.6,1.74,2.85,4.31,3.11,1.58,3.21,4.68,,,
April,,,,,,,,,,0.75,3.68,4.6,2.92,2.41,3.92,6.71,3.15,,,,
May,,,,,,,,,,3.98,3.27,3.72,4.29,3.17,2.25,2.39,0.84,,,,
June,,,,,,,,,,3.46,1.82,5.01,1.57,2.17,2.34,5.56,2.87,,,,
July,,,,,,,,,,4.25,3.4,6.82,5.23,3,1.2,1.34,9.07,,,,
August,,,,,,,,,,6.45,6.11,6.05,2.03,2,7.13,4.29,1.98,,,,
September,,,,,,,,,,1.65,7.2,2.45,7.74,1.43,5.08,8.27,5.14,,,,
October,,,,,,,,,,8.58,8.93,1.95,11.83,6.84,5.89,8,4.68,,,,
November,,,,,,,,,,13.16,7.14,7.73,3.91,1.52,3.24,8.46,6.58,,,,
December,,,,,,,,,,12.15,8.08,3.54,2.52,1.73,11.59,7.07,5.85,,,,
Total,,,,,,,,,,59.83,61.61,56.81,50.97,35.92,51.25,60.5,51.53,,,,
