STONY-STRATFORD-THORNTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP751357,Long,-0.907124,Lat,52.014655,Elevation,252,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,4,1.06,1.04,4.29,2.38,2.31,3.49,2.05,4.21,1.49,1.94,0.06,0.94,1.36,2.67,2.57,1.89,2.9,3.36,0.86,0.9,2.45,2.02,0.97,2.01,2.14,2.62,0.89,2.2,0.72,2.51,3.01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.35,1.82,1.16,1.5,1.52,1.83,1,2.19,2.14,1.4,2.11,2.97,2.69,1.76,3.82,1,2.7,0.48,0.67,2.15,2.09,0.72,0.01,1.21,2.35,1.83,0.16,0.47,2.47,0.98,2.33,4.94,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.48,1.66,1.76,2.01,2.1,0.81,1.02,3.98,1.9,0.39,0.94,1.48,1.87,1.52,0.96,1.45,1.18,2.08,1.6,3.26,2.21,1.72,1.67,0.61,0.16,1.9,1.81,2.5,2.85,1.16,0.64,0.26,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.56,0.53,2.64,2.52,0.85,1.47,2.42,3.46,2.45,3.11,2.53,1.91,0.44,3.54,1.35,1.28,2.15,2.3,0.9,1.54,2.22,0.89,2.03,0.63,0.13,1.66,1.77,0.79,1.98,1.87,2.02,0.85,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.91,2.06,0.56,2.12,2.36,0.2,2.48,0.63,2.75,3.99,2.45,0.99,1.08,1.12,1.87,1.08,2.85,4.24,1.87,1.23,2.57,1.63,3.09,1.52,2,1.58,0.13,0.37,0.86,3.58,1.73,1.25,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.76,0.73,3.53,2.28,4.1,0.89,3.08,1.66,1.05,3.16,5.43,2.91,1.68,2.03,2.16,1.08,2.02,1.07,2.34,2.15,0.67,1.9,2.31,1.71,0.87,2.04,1.65,1.75,2.21,0.58,0.94,2.3,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,0.52,1.42,3.98,3.53,2.11,0.44,4.87,2,3.61,1.84,4.98,7.18,5.23,4.05,3.14,1.97,0.27,4.87,0.72,4.42,1.98,4.72,2.7,2.22,3.29,3.19,3.41,1.57,1.03,1.22,0.92,1.61,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,0.78,2.39,0.44,2.63,2.79,2.5,1.87,1.22,4.34,4.96,4.22,0.23,4.16,1.63,0.88,1.72,2.59,1.49,0.98,2.41,2.09,1.85,4.43,2.39,1.37,2.12,1.82,2.57,5.46,2.25,0.82,3.02,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.18,1.65,4.33,1.26,2.34,1.93,2.49,5.12,2.03,1.81,2.25,4.6,1.62,2.84,4.27,1.46,4.65,1.66,2.12,0.9,2.63,1.01,1.06,3.23,0.83,1.75,0.51,5.76,2.98,0.49,2.14,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.71,2.02,4.28,1.14,3.15,2.4,3.11,6.89,1.68,1.6,2.1,1.05,5.91,2.75,5.26,1.96,1.02,4.49,4.11,1.74,0.56,2.88,1.4,7.07,3.85,2.73,3.13,2.75,3.72,1.38,2.96,2.48,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,1.39,2.02,1.23,1.32,3.15,2.6,2.54,4.34,3.66,3.2,2.08,0.75,2.65,2.91,3.96,3.3,1.37,3.77,2.36,1.78,4.09,1.01,2.19,2.17,1.64,2.2,4.67,4.54,1.11,1.07,2.16,2.32,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,5,3.42,2.45,1.19,4.18,0.56,2.07,1.13,5.5,1.99,1.99,0.95,2.52,3.95,2.63,0.82,2.75,1.05,4.71,1.33,2.07,1.21,0.27,3.84,1.57,1.63,2.35,1.76,3.58,2.86,2.71,1.56,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,26,21.28,23.09,32.62,26.11,20.1,35.08,33.15,31.27,28.32,29.6,33.41,29.32,31.7,27.2,18.75,29.61,32.27,19.41,25.64,22.46,20.75,32.4,21.55,19.57,28.36,22.93,25.08,27.35,20.68,20.41,24.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
