TRING-BROOKFIELD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP926118,Long,-0.65861299,Lat,51.797192,Elevation,420,ft,,,,,,,,,,,,,
Station no,897,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.74,3.61,1.65,3.34,1.44,2.1,1.86,,,,,,,
February,,,,,,,,3.82,1.89,0.72,0.82,1.99,0.31,2.56,,,,,,,
March,,,,,,,,2.91,2.13,0.03,1.5,0.12,1.91,2.95,,,,,,,
April,,,,,,,,1.47,0.9,1.41,2.33,3.55,3.09,1.32,,,,,,,
May,,,,,,,,1.37,1.32,2.05,3.33,2.65,4.84,1.69,,,,,,,
June,,,,,,,,3.73,2.17,0.95,1.26,1.14,1.05,1.69,,,,,,,
July,,,,,,,,2.43,2.55,1.53,2.19,4.56,3.08,1.66,,,,,,,
August,,,,,,,,4.35,2.17,0.35,3.07,4.11,2.54,0.58,,,,,,,
September,,,,,,,,4.65,0.67,0.2,4.07,2.55,2.45,2.1,,,,,,,
October,,,,,,,,1.62,4.34,3.86,1.07,0.72,4.43,1.26,,,,,,,
November,,,,,,,,2.87,2.97,6.2,4.39,3.04,1.62,1.33,,,,,,,
December,,,,,,,,2.72,2.74,5.06,2.84,0.82,0.6,0.88,,,,,,,
Total,,,,,,,,34.68,27.46,24.01,30.21,26.69,28.02,19.88,,,,,,,
