SALE-CARRINGTON-LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ765928,Long,-2.3551619,Lat,53.431456,Elevation,72,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2741/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,5.44,5.09,2.44,1.19,3.6,4.08,3.82,2.07,3.84,2.26,6.44,2.3,1.52,2.97,3.46,1.24,3.2,2.36,4.73,1.99,2.88,2.75,4.78
February,,,,,,,,1.05,3.84,1.82,3.03,1.56,2.03,1.3,2.89,5,0.45,1.66,1.48,4.2,1.9,0.95,1.07,3.02,2.09,0.6,1.93,4.92,0.31,2.08
March,,,,,,,,1.23,2.01,2.68,2.29,2.39,0.8,0.53,0.78,0.66,5.22,0.93,1.8,1.28,4.26,2.03,1.73,2.24,2.09,1.08,2.56,1.75,1.42,1.11
April,,,,,,,,0.48,1.97,1.52,0.93,1.41,1.39,2.33,1.93,0.86,2.28,1.31,2.41,3.03,1.68,3.47,2.47,0.71,2.03,3.6,0.44,0.66,3.13,1.57
May,,,,,,,,4.25,1.01,1.06,1.5,3.37,2.23,2.78,4.11,1.37,2.22,1.13,3.44,1.15,2.47,1.81,1.92,2.46,2.36,0.87,1.01,3.07,2.06,2.15
June,,,,,,,,3.55,2.87,1.05,0.36,0.39,2.34,2.4,3.22,3.44,1.91,4.49,0.8,2.15,0.92,2.41,1.8,3.24,2.6,1.99,1.59,4.76,2.52,1.76
July,,,,,,,,4.53,5.96,3.48,1.99,2.58,1.68,3.04,1.66,4,2.12,1.83,1.53,3.16,2.71,1.8,3.25,4.38,0.7,4.89,4.96,4.25,2.99,
August,,,,,,,,2.57,1.46,1.16,4.18,3.8,3.7,3.48,2.69,3.61,0.29,4.39,2.12,4.49,4.03,2.2,3.67,5.4,0.92,8.59,3.78,4.43,0.17,5.78
September,,,,,,,,2.59,1,3.45,0.43,1.79,3.44,3.58,2.13,4.92,2.35,2.11,0.79,5.03,2.82,3.13,2.62,3.69,2.46,2.5,5.28,4.32,0.22,2.82
October,,,,,,,,6.83,1.69,3.52,3.46,4.69,3.02,3.17,5.47,0.69,0.63,2.23,2.69,2.19,1.22,3.65,1.91,5.8,2.27,2.39,3.28,2.64,2.92,4.07
November,,,,,,,,5.51,5.03,6,2.19,0.76,2.26,5.97,0.42,4.77,3.47,1.97,4.52,4.56,6.47,2.18,3,5.45,1.59,1.06,1.68,1.35,3.76,4.47
December,,,,,,,,4.89,2.48,2.65,0.95,3.28,1.6,2.57,2.23,3.16,2.22,2.9,4.24,3.38,4.9,3.1,1.21,4.69,3.75,2.55,3.02,3.61,4.79,3.68
Total,,,,,,,,42.92,34.41,30.83,22.5,29.62,28.57,34.97,29.6,36.32,25.42,31.39,28.12,36.14,36.35,30.19,25.89,44.28,25.22,34.85,31.52,38.64,27.04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11977 SALE: CARRINGTON LANE Start 1938 and still current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Carrington Lane. Stated altitude is slightly high or the NGR is 100m S and nearer the Lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan, Feb and Mar 1940 noted as being reduced by 10% because they were taken form the E type gauge. Readings left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
