BALBEGGIE (MONTAGUE RESERVOIR),,,,,,,,,,,,
Grid ref,NO191281,Long,-3.313631,Lat,56.438122,,,,,,,
Station no,5572/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,3.22,0.80,1.80,1.95,2.75,3.60,1.75,1.15,4.80,,
February,,0.55,1.10,2.85,2.35,0.85,3.80,1.75,0.70,2.40,,
March,,2.30,0.80,3.75,1.60,2.05,2.65,2.50,1.55,2.94,,
April,,1.05,2.42,1.55,1.15,0.75,0.70,1.00,2.65,2.40,,
May,,2.05,1.80,5.60,1.75,0.80,2.30,3.10,0.35,2.35,,
June,,2.75,2.15,1.90,1.50,3.10,0.95,3.25,2.90,2.45,,
July,,2.40,5.30,3.45,0.85,3.25,4.60,4.50,4.40,3.25,,
August,,3.65,1.35,3.00,0.80,4.95,3.90,4.40,0.80,5.25,,
September,,1.15,3.10,3.45,1.35,4.07,1.85,3.15,0.65,2.60,,
October,,1.80,0.75,6.30,3.00,2.55,2.00,1.60,3.40,5.05,,
November,,1.95,4.35,5.05,1.55,0.50,1.25,1.10,4.35,3.25,,
December,,2.15,4.10,3.30,5.15,3.50,3.75,5.20,6.20,2.70,,
Total,,25.02,28.02,42.00,23.00,29.12,31.35,33.30,29.10,39.44,,
Calc annual,0.00,25.02,28.02,42.00,23.00,29.12,31.35,33.30,29.10,39.44,,
Difference,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
