BALBEGGIE (MONTAGUE RESERVOIR),,,,,,,,,,
Grid ref,NO191281,Long,-3.313631,Lat,56.438122,Elevation,530,ft,,
Station no,5572/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.22,0.8,1.8,1.95,2.75,3.6,1.75,1.15,4.8
February,,0.55,1.1,2.85,2.35,0.85,3.8,1.75,0.7,2.4
March,,2.3,0.8,3.75,1.6,2.05,2.65,2.5,1.55,2.94
April,,1.05,2.42,1.55,1.15,0.75,0.7,1,2.65,2.4
May,,2.05,1.8,5.6,1.75,0.8,2.3,3.1,0.35,2.35
June,,2.75,2.15,1.9,1.5,3.1,0.95,3.25,2.9,2.45
July,,2.4,5.3,3.45,0.85,3.25,4.6,4.5,4.4,3.25
August,,3.65,1.35,3,0.8,4.95,3.9,4.4,0.8,5.25
September,,1.15,3.1,3.45,1.35,4.07,1.85,3.15,0.65,2.6
October,,1.8,0.75,6.3,3,2.55,2,1.6,3.4,5.05
November,,1.95,4.35,5.05,1.55,0.5,1.25,1.1,4.35,3.25
December,,2.15,4.1,3.3,5.15,3.5,3.75,5.2,6.2,2.7
Total,,25.02,28.02,42,23,29.12,31.35,33.3,29.1,39.44
,,,,,,,,,,
1952 Ja Estd,,,,,,,,,,
BR 1953 P()  Ja Apr Nov Est,,,,,,,,,,
BR 1953 P Ja Est,,,,,,,,,,
BR 1955 P Ja Est,,,,,,,,,,
BR 1957 P Oct Est,,,,,,,,,,
,,,,,,,,,,
Station no,5572/3,,,,,,,,,
Midas,15290,,,,,,,,,
Hyd Stn ,879049,,,,,,,,,
