THIRSK - THE HALL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE426822,Long,-1.348,Lat,54.234,Elevation,120,ft,,,,,,,,,,,,,
Station no,RR4596,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923
January,2.38,2.04,0.44,2.66,0.51,1.04,0.54,3.22,1.31,3.26,3.29,1.28,2.66,,2.74,,2.81,2.87,2.43,3.05,1.37
February,1.34,1.99,0.65,1.52,1.32,1.37,0.60,2.45,0.71,1.82,1.09,1.40,2.83,,0.60,,0.93,0.76,0.11,1.78,4.58
March,2.75,1.54,1.80,1.35,0.93,2.77,3.65,0.61,1.24,2.85,2.12,1.66,0.89,,2.40,,2.29,1.94,0.82,1.00,1.25
April,1.38,1.46,2.38,0.85,1.73,2.24,2.39,1.95,1.15,0.08,3.36,0.47,0.86,,1.57,,1.53,3.12,0.90,2.13,1.48
May,2.96,4.18,1.11,2.80,3.28,1.65,1.16,1.89,1.07,2.76,1.74,1.54,1.23,,0.90,,0.92,2.28,1.67,0.68,1.75
June,1.67,1.13,1.97,1.40,3.54,0.44,1.79,1.50,2.96,5.99,1.22,1.51,0.34,,1.97,,1.13,1.04,0.30,1.70,0.68
July,3.63,1.59,1.09,1.14,1.91,3.51,2.86,2.48,0.67,3.52,0.56,3.92,4.34,,0.93,,2.26,4.16,1.39,4.17,2.74
August,2.38,2.70,2.35,1.93,1.95,1.72,3.64,3.38,2.90,4.52,1.19,1.32,2.75,,6.11,,2.20,1.62,3.86,3.25,3.47
September,3.17,1.30,2.27,0.39,0.65,2.70,1.95,0.25,2.36,1.98,1.27,1.27,1.03,,0.55,,0.77,1.06,1.27,2.14,2.58
October,6.89,0.61,1.43,4.89,3.73,1.14,2.56,2.53,1.97,2.11,1.78,1.62,0.85,,2.75,,4.06,2.55,1.17,1.03,2.32
November,1.18,2.31,3.69,2.28,2.32,1.28,0.70,2.73,2.94,2.60,1.88,2.06,1.95,,1.21,,2.18,0.99,1.85,1.33,2.88
December,1.52,1.92,0.35,2.16,2.89,1.41,4.01,2.45,4.21,1.09,1.97,4.22,4.38,,1.38,,2.93,3.11,1.85,2.99,2.66
Total,31.25,22.77,19.53,23.37,24.76,21.27,25.85,25.44,23.49,32.58,21.47,22.27,24.11,,23.11,,24.01,25.50,17.62,25.25,27.76
,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/117,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/284,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/172,,,,,,,,,,,,,,,,,,,,,
