"THIRSK THE HALL",,,,,,,,,,,,
Grid ref,SE427823,Long,-1.346409,Lat,54.234631,,,,,,,
Station no,RR4596,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.38,2.04,0.44,2.66,0.51,1.04,0.54,,
February,,,,1.34,1.99,0.65,1.52,1.32,1.37,0.60,,
March,,,,2.75,1.54,1.80,1.35,0.93,2.77,3.65,,
April,,,,1.38,1.46,2.38,0.85,1.73,2.24,2.39,,
May,,,,2.96,4.18,1.11,2.80,3.28,1.65,1.16,,
June,,,,1.67,1.13,1.97,1.40,3.54,0.44,1.79,,
July,,,,3.63,1.59,1.09,1.14,1.91,3.51,2.86,,
August,,,,2.38,2.70,2.35,1.93,1.95,1.72,3.64,,
September,,,,3.17,1.30,2.27,0.39,0.65,2.70,1.95,,
October,,,,6.89,0.61,1.43,4.89,3.73,1.14,2.56,,
November,,,,1.18,2.31,3.69,2.28,2.32,1.28,0.70,,
December,,,,1.52,1.92,0.35,2.16,2.89,1.41,4.01,,
Total,,,,31.25,22.77,19.53,23.37,24.76,21.27,25.85,,
Calc annual,0.00,0.00,0.00,31.25,22.77,19.53,23.37,24.76,21.27,25.85,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
