"WOOLSTON DEPOT",,,,,,,,,,,,
Grid ref,SU435104,Long,-1.382901,Lat,50.891453,,,,,,,
Station no,689,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.81,2.16,0.95,1.82,3.54,4.81,2.79,4.67,3.21,3.92,,
February,5.75,0.51,1.32,3.14,2.00,0.07,4.10,2.78,0.17,3.06,,
March,4.08,2.23,0.53,2.76,1.17,0.59,1.96,1.54,2.99,2.32,,
April,2.91,2.10,1.26,0.23,0.23,1.97,0.09,0.59,2.46,1.21,,
May,2.42,2.43,2.40,1.83,4.15,0.26,1.56,2.12,0.46,1.40,,
June,1.35,1.22,2.82,3.41,2.72,1.97,1.24,3.63,0.84,2.42,,
July,2.30,0.17,3.89,2.51,1.15,2.40,4.46,1.72,1.83,4.81,,
August,3.91,3.66,1.96,3.28,0.70,3.42,3.68,4.56,1.49,5.82,,
September,3.67,4.08,3.85,2.52,1.52,3.92,2.85,5.15,0.08,4.79,,
October,0.99,4.84,4.87,2.30,4.96,2.19,2.19,3.07,2.68,7.48,,
November,9.21,3.76,1.12,5.62,1.94,0.75,2.82,2.26,4.15,5.13,,
December,2.56,2.32,0.74,2.94,4.31,5.25,2.06,4.10,6.25,3.83,,
Total,42.96,29.48,25.71,32.36,28.39,27.60,29.80,36.19,26.61,46.19,,
Calc annual,42.96,29.48,25.71,32.36,28.39,27.60,29.80,36.19,26.61,46.19,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
