LONG SUTTON - MR TILSON,,,,,,,,,,,,,,,,,,
Grid ref,TF433229,Long,0.123,Lat,52.785,Elevation,18,ft,,,,,,,,,,
Station no,RR2728,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.73,1.69,1.72,2.42,1.56,0.96,0.86,2.15,1.80,0.85,1.67,1.61,3.71,1.12,2.19,1.23,1.99
February,,2.84,0.84,1.74,0.25,0.55,2.38,1.55,0.93,0.05,2.12,2.30,1.18,0.29,0.72,2.54,0.58,0.96
March,,1.68,1.07,0.82,1.98,1.58,2.56,1.17,2.25,1.25,1.07,0.38,0.38,1.97,1.97,2.29,1.83,0.67
April,2.35,1.55,1.18,1.16,1.64,1.27,1.74,2.64,0.48,1.14,2.18,0.14,1.37,2.13,0.76,1.24,1.59,2.10
May,1.21,1.48,0.98,2.02,2.74,1.89,0.78,3.99,1.91,3.25,1.76,0.77,1.87,1.16,0.48,1.19,3.14,1.83
June,3.16,4.46,1.44,1.93,0.89,0.33,1.49,1.28,2.10,1.58,2.72,1.32,2.61,1.64,2.04,2.10,1.82,0.50
July,2.39,3.79,3.22,1.02,5.19,0.77,4.59,2.27,3.23,2.73,2.19,2.77,3.82,1.69,2.29,1.42,0.88,1.44
August,2.68,1.03,1.66,1.06,1.91,3.13,2.58,2.73,1.77,3.40,1.68,1.03,2.45,4.02,2.57,3.40,3.21,0.90
September,2.74,6.28,1.94,4.55,0.90,2.09,1.00,2.80,0.42,0.63,2.50,1.06,1.33,0.55,3.98,3.84,0.30,3.64
October,5.87,1.65,1.36,4.76,3.20,2.10,0.38,3.54,0.88,4.79,5.20,3.44,3.21,2.62,4.03,1.04,2.52,2.77
November,3.06,3.80,2.02,2.37,2.88,1.60,2.17,0.90,2.82,2.41,1.13,2.78,2.67,2.77,1.01,1.33,1.56,1.39
December,3.17,1.40,1.50,0.93,3.59,0.97,1.31,1.39,0.48,2.66,0.79,1.67,1.69,1.53,3.03,1.41,1.74,1.37
Total,,31.69,18.90,24.08,27.59,17.84,21.94,25.12,19.42,25.69,24.19,19.33,24.19,24.08,24.00,23.99,20.40,19.56
,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/002,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/122,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"# The observer, Mr Tilson, and gauge came from Tydd Gate in March 1882.",,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# The 1880s rainfall sheet is shared with Mr Tilson's Tydd Gate site.,,,,,,,,,,,,,,,,,,
