HALESWORTH-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM385776,Long,1.5000852,Lat,52.34457,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,3.17,2.08,1.88,4.43,1.54,2.09,0.95,2.31,1.26,3.29,1.66,2.02,2.02,0.88,0.85,1.68,2.27,3.41,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.61,0.73,0.23,2.25,3.32,1.84,2.14,1.98,2.16,1.09,0.64,1.24,2.98,0.8,1.91,0.51,2.64,2.75,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,0.78,2.23,0.97,1.18,1.83,1.4,0.68,1.43,0.38,2.46,2.06,0.07,1.18,0.45,1.7,1.44,2.21,1.05,0.58,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,4.06,2.21,2.94,1.5,2.55,0.82,2.17,2.24,2.77,2.12,1.53,1.3,2.5,3.72,3.41,0.89,2.03,2.59,1.29,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0.94,0.79,1.2,0.96,0.9,1.3,4.65,2.05,1.51,1.08,1.88,1.07,2.49,2.72,3.4,2.14,2.07,1.38,0.65,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,1.39,1.27,1.43,0.49,1.81,0.82,1.6,0.56,3.28,4.26,2.06,0.68,0.66,1.98,0.4,1.98,0.95,2.69,3.18,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,4.02,2.65,2.73,0.31,3.47,2.35,2.86,1.74,2.45,2.71,2.23,3.82,4.23,3.17,3.46,1.08,1.07,0.81,4.3,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,0.83,2.89,1.2,0.96,1.55,2.59,3,2.86,1.7,3.66,3.02,1.37,2.86,3.44,2.19,0.97,2.12,2.03,1.23,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,4.49,0.51,3.09,1.83,3.55,1.52,4.05,2.53,0.96,3.53,0.95,0.71,5.65,3.01,1.51,3.71,1.41,3.47,3.01,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.78,2.72,0.59,1.01,1.36,3.92,4.71,2.43,2.81,1.81,2.02,3.01,0.73,1.12,4.4,2.93,1.7,2.78,2.73,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
