AYLESBURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP813137,Long,-0.82198896,Lat,51.816026,Elevation,284,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,,1.72,1.01,3.06,1.72,,,,,,,,,,,5.2,2.6,,,,,,
February,,,,,,,,,0.82,1.37,1.74,0.82,,,,,,,,,,,0.7,1.7,,,,,,
March,,,,,,,,,1.28,2.21,0.63,1.28,,,,,,,,,,,0.5,1.8,,,,,,
April,,,,,,,,,,1.72,0.34,1.53,,,,,,,,,,,,2.7,,,,,,
May,,,,,,,,,,1.47,2.14,0.56,,,,,,,,,,,,0.9,,,,,,
June,,,,,,,,,,3.26,1.16,1.93,,,,,,,,,,,,4.8,,,,,,
July,,,,,,,,,,2.8,1.56,1.62,,,,,,,,,,,2.3,4.7,,,,,,
August,,,,,,,,,,1.97,1.9,2.65,,,,,,,,,,,5,2.9,,,,,,
September,,,,,,,,,,2.6,2.22,3.21,,,,,,,,,,,2,1.2,,,,,,
October,,,,,,,,,1.77,2.7,,4.83,,,,,,,,,,,4,2.9,,,,,,
November,,,,,,,,,3.71,2.2,,3,,,,,,,,,,,6.1,1.2,,,,,,
December,,,,,,,,,2.61,1.33,,2.28,,,,,,,,,,,3.8,1.7,,,,,,
Total,,,,,,,,,,24.64,,25.43,,,,,,,,,,,,29.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs: Thomas Dell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR derived from George Symons Monthly Meteorlogical Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
