PENTRE-CELYN-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ148529,Long,-3.2729485,Lat,53.066521,Elevation,400,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,4306/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,5.18,4.26,2.02,2.15,,3.1,4.56,5.76,1.01,5.58,3.03,4.99,2.64,2.48,,4.2,3.5,3.64,6.23,2.29,3.73,2.91,4.19,,,,,,,
February,,0.33,3.36,5.52,0.81,,1.77,2.19,2.31,0.5,0.98,2.81,0.1,4.84,0.26,,3.74,4.92,0.67,3.3,3.03,4.29,1.99,1.66,,,,,,,
March,4.57,1.83,3.22,1.19,0.86,,0.92,4.32,2.27,0.1,2.83,0.76,2.25,1.86,2.68,,3.05,3.25,0.68,2.53,2.13,3.41,1.45,0.53,,,,,,,
April,4.66,0.95,2.55,2.58,2.16,,1.4,1.5,1.25,0.96,3.04,3.19,4.47,1.56,2.79,2.48,2,2.98,0.23,1.9,2.43,1.57,1.39,1.57,,,,,,,
May,2.41,1.3,0.45,4.37,4.48,2.74,2.98,1.75,1.69,2.06,1.11,3.88,2.97,1.49,2.09,1.09,2.56,1.74,2.26,1.59,2.78,2.53,2.91,3.13,,,,,,,
June,2.97,0.31,1.3,0.67,2.18,0,1.46,4.1,3.01,1.94,0.66,3.73,1.18,1.67,0.43,4.56,4.29,1.32,2.76,2.11,2.2,1.1,0.57,2.37,,,,,,,
July,5.14,1.23,3,1.59,5.12,1.43,6.11,2.66,0.92,1.81,3.02,1.76,4.25,1.08,,1.16,3.75,1.98,2.06,6.17,2.53,1.73,2.84,1.44,,,,,,,
August,1.61,3.33,1.68,4,3.4,4.02,3.17,5.48,3.22,2.33,2.3,4.87,1.28,1.05,,0.5,0.56,1.93,3.65,2.33,0.7,3.16,4.04,2.31,,,,,,,
September,2.01,0.73,3.57,3.14,4.84,4.05,2.83,5.79,2.3,2.17,3.02,4.63,2.35,1.22,,4.78,3.21,1.42,0.68,1.01,2.09,0.61,1.88,4.88,,,,,,,
October,2.92,2.67,0.81,5.31,3.44,3.38,3.02,3.47,3.88,3.56,3.95,1.37,3.46,3.54,,5.52,1.59,3.55,4.51,3.17,4.17,3.26,1.84,3.77,,,,,,,
November,1.64,2.18,1.51,3.16,1.87,3.63,5.46,4.42,4.68,5.36,3.95,5.71,1.97,1.01,,,3.96,1.24,4.88,5.54,7.33,2.68,0.83,2.67,,,,,,,
December,2.03,3.29,4.61,3.86,3.45,4.03,2.52,1.49,2.24,6.25,5.42,1.5,1.94,0.85,,,4.38,2.23,3.05,2.21,1.57,1.64,3.36,1.27,,,,,,,
Total,,23.33,30.32,37.41,34.76,,34.74,41.73,33.53,28.05,35.86,37.24,31.21,22.81,,,37.29,30.06,29.07,38.09,33.25,29.71,26.01,29.79,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is s school near Pentre Celyn. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1940 reading is noted as being corrected for snow; left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
