"NURSERY, LEITH WALK, MIDLOTHIAN",,,,,,,,,,
Grid ref,NT260751,Long,-3.1869565,Lat,55.963186,Elevation,74,ft,,
Station no,RR6566,,,,,,,,,
,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819
January,,,,,,1.341,,,,
February,,,,,,1.305,,,,
March,,,,,,2.257,,,,
April,,,,,,0.855,,,,
May,,,,,,3.142,,,,
June,,,,,,2.07,,,,
July,,,,,,1.807,,,,
August,,,,,,1.295,,,,
September,,,,,,1.82,,,,
October,,,,,,2.675,,,,
November,,,,,,0.49,,,,
December,,,,,,1.56,,,,
Total,,,,,,20.617,,,,
,,,,,,,,,,
MetOffice 28-July-1978 reports NGR as NT266751 but Leith Walk Nursery is north east of this.,,,,,,,,,,
"Record notes ""Belived to have formed part of the Gordon Castle register""",,,,,,,,,,
