BLECHINGLEY-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ325506,Long,-0.10330557,Lat,51.239202,Elevation,500,ft.,,,,,,,,,,,,
Station no,RR8469,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.3,5.54,1.45,1.98,1.24,3.11,1.6,2.74,,,,,,,
February,,,,,2.69,0.9,2.71,2.35,1.44,0.55,4.99,1.89,2.51,,,,,,,
March,,,,,1.41,4.15,1.65,1.23,2.84,3.86,1.31,2.36,4.39,,,,,,,
April,,,,,1.51,1.59,0.68,3.86,2.95,1.97,2.07,2.42,0.1,,,,,,,
May,,,,,2.41,0.71,1.43,2.33,2.26,1.63,2.85,3.84,1.21,,,,,,,
June,,,,,1.01,5.02,2.01,2.21,1.77,3.21,2.29,2.46,4.49,,,,,,,
July,,,,,1.2,0.81,0.61,1.5,3.56,3.78,3.8,0.29,1.53,,,,,,,
August,,,,,1.53,2.72,1.3,3.15,4.37,2.7,2.7,0.46,6.09,,,,,,,
September,,,,,1.83,2.1,1.68,0.57,1.33,3.48,0.82,1.5,3.13,,,,,,,
October,,,,,2.29,1.43,4.19,3.83,2.06,5.81,3.47,4.76,3.07,,,,,,,
November,,,,,1.54,4.65,5.4,2.21,1.01,1.08,4.37,5.82,2.64,,,,,,,
December,,,,,3.08,0.69,2.14,3.6,2.79,4.39,4.57,6.97,3.76,,,,,,,
Total,,,,,,26.07,29.34,28.29,28.36,33.7,36.35,34.37,35.66,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Blechingley House. Stated altitude, 550 ft., is 50 ft. too high, OS figure used.",,,,,,,,,,,,,,,,,,,,
