MACCLESFIELD WINCLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ955641,Long,-2.068031,Lat,53.174439,Elevation,550,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,1.38,1.93,3.66,3.59,2.24,3.27,,0.76,5.9,2.16,3.07,3.46,1.22,6.54,3.74,1.19,0.51,0.12,2.77,3.73,3.1,3.08,5.27,2.25,3.02,1.5,4.72,3.08,2.42,2.1,3.54,3.67,1.77,1.01,1.97,4.28,4.34,1.98,0.94,3.98,2.49,1.73,5.48,1.49,,
February,,,,,2.34,2.82,3.58,2.75,2.58,2.86,,1.88,3.89,0.34,3.3,1.09,2.51,6.08,1.92,3.02,3.53,3.53,2.68,3.38,2.73,1.69,0.95,1.32,1.5,2.03,0.56,0.35,2.05,4.08,4.04,0.3,1.32,3.47,2.3,1.58,3.28,1.25,0.56,2.88,0.77,1.9,3.87,2.33,,
March,,,,,2.5,1.88,2.5,1.68,5.6,1.86,,0.61,5.92,4.3,2.62,1.4,5.22,4.29,1.63,1.7,2.71,2.99,2.76,0.68,1.63,2.81,2.44,1.47,2.88,4.85,3.13,2.05,0.39,1.2,2.74,4.33,5.51,3.85,1.39,1.36,0.43,2.99,3.5,5.65,1.67,4.16,3.95,2.69,,
April,,,,,1.72,1.42,0.66,4.34,2.14,1.84,,2.28,2.78,0.91,2.01,1.15,3.97,2.48,1.84,2.08,2.75,0.71,4.32,1.9,1.41,2.81,1.58,1.15,1.84,2.77,1.05,2.15,1.07,0.9,1.2,2.02,2,2.97,2.62,4.14,2.03,3.13,1.6,1.73,2.58,2.41,1.5,1.82,,
May,,,,,3.12,3.28,1.61,1.22,1.5,3.16,,2.37,3.08,3.86,1.47,1.99,1.59,3.79,6.16,2.63,2.34,3.57,1.81,0.67,2.26,2.8,6.41,2.85,0.7,4.33,2.26,4.96,3.88,2.9,3.24,0.79,0.75,2.23,3.15,2.29,1.4,1.46,5.9,1.66,1.74,0.8,3.8,4.02,,
June,,,,,2.81,0.58,4.1,1.99,0.25,1.5,,5.09,6.47,1.91,0.9,4.63,4.76,3.23,4.05,7.91,3.5,2.97,7.09,4.11,1.87,3.6,2.75,0.84,3.48,0.34,3.24,2.86,3.93,2.96,2.77,2.26,3.8,3.56,3.57,1.35,4.42,2.62,1.49,0.82,2.46,1.14,2.05,8.28,,
July,,,,,1.17,2.26,2.52,3.4,0.04,1.39,,5.16,4.71,5.07,3.06,7.26,1.59,5.34,1.29,5.72,7.86,3.85,5.13,4.55,4.7,1.48,4.06,1.28,6.93,4.24,4.46,3.33,3.49,3.06,3.34,5.55,2.25,1.21,0.84,2.92,3.57,1.91,2.48,3.71,1.18,2.94,1.29,4.07,,
August,,,,,2.37,5.56,4.31,2.21,3.85,2.21,,1.71,3.58,5.03,4.96,4.09,4.03,6.24,7.15,5.55,3.17,7.63,6.15,1.19,1.19,2.21,2.5,1.14,3.74,5.6,5.04,4.88,3.58,2.45,4.9,3.44,3.08,2.92,4.59,1.9,5.01,3.2,3.42,4.24,2.98,3.68,3.21,4.7,,
September,,,,,3.37,0.07,5.61,3.62,2.07,6.41,,5.22,3.96,4.33,2.94,5.4,7.97,3.46,4.76,3.45,5.83,2.37,2.52,8.39,3.05,3.71,2.74,5.86,1.33,3.73,0.89,3.6,4.27,4.31,0.29,0.69,6.06,5.85,0.97,3.42,1.14,,1.45,5.01,0.69,1.98,2.16,0.94,,
October,,,,,2.99,4.82,2.65,4.82,4.49,2.55,,7.74,6.7,6.37,3.18,7.39,3.28,2.92,4.09,1.72,1.88,3.84,5.06,6.21,2.67,6.35,6.29,3.15,1.51,3.26,3.35,5.74,5.81,2.58,3.55,2.45,4.77,1.74,3.13,4.26,6.39,4.29,4.3,7.64,1.5,3.96,5.23,5.06,,
November,,,,,2.7,3.22,4.98,1.76,1.72,4.17,,0.85,3.22,4.13,4.36,5.64,5.84,5.11,3.99,1.38,2.57,4.83,6.06,2.95,1.82,3.32,3.32,2.62,5.15,1,7.88,2.15,2.41,2.42,3.24,2.92,1.71,3.48,2.86,1.97,3.19,4.5,1.34,2.96,2.55,3.54,3,2.57,,
December,,,,,2.54,1.2,3,3.95,7.78,4.2,,2.09,3.3,0.78,1.91,1.04,7.04,2.33,1.09,2.31,4.71,4.14,5.95,3.29,3.89,2.19,7.12,3.32,2.99,3.88,0.48,6.86,2.57,4.81,3.11,3.58,5.82,4.84,4.46,3.29,5.05,4.52,2.47,1.97,1.73,0.89,3.29,3.14,,
