"ERROCHTY SWITCHING STATION",,,,,,,,,,,,
Grid ref,NN770590,Long,-4.010688,Lat,56.706450,,,,,,,
Station no,5561/3/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.22,3.74,,
February,,,,,,,,,0.96,4.12,,
March,,,,,,,,1.12,3.48,1.66,,
April,,,,,,,,1.05,3.24,4.71,,
May,,,,,,,,2.64,1.10,2.47,,
June,,,,,,,,3.06,2.23,1.67,,
July,,,,,,,,4.17,3.25,1.61,,
August,,,,,,,,4.26,1.77,2.64,,
September,,,,,,,,4.74,0.79,3.03,,
October,,,,,,,,3.23,5.43,4.04,,
November,,,,,,,,0.87,4.84,3.89,,
December,,,,,,,,5.00,9.20,4.26,,
Total,,,,,,,,,38.51,37.84,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.14,38.51,37.84,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
