NORTHAMPTON-SEDGEBROOKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP737669,Long,-0.920759,Lat,52.295295,Elevation,311,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2,2.15,3.6,1.52,1.73,,,,,,1.72,2.83,2.46,0.96,0.74,1.89,1.62,1.01,1.59,1.16,2.74,1.31,2.49,1.05,2.99,3.3,0.99,1.06,1.99,2.41,0.86,3.79,1.04,1.1,1.08,2.1,0.69,3.45,3.51,0.95,2.39,1.49,1.42,2.36,3.68,,,,,,,,,,,,1.46,1.87,1.45,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1.02,2.9,2.08,1.59,2.69,,,,,,2.51,0.44,0.6,2.25,2.32,0.81,0.02,1.36,2.54,1.99,0.11,0.52,2.94,0.97,2.27,4.75,1.24,1.71,0.96,3.41,0.58,2.22,1.25,1.06,0.5,2.41,1.1,1.88,0.77,1.4,2.27,3.97,1.2,1.02,3.3,,,,,,,,,,,,2.49,0.36,2.77,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.82,2.89,2.06,0.51,0.83,,,,,,0.94,1.78,1.73,2.98,2.54,1.62,1.11,0.74,0.07,1.05,2.28,2.79,3.67,1.12,1.26,0.64,2.1,1.42,3.2,1.42,2.35,1.32,1.11,3.06,2.68,0.54,1.79,2.45,2.93,2.63,1.03,4.49,1.26,0.61,4.11,,,,,,,,,,,,0.07,1.52,2.34,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,2.21,3.35,2.78,1.95,2.07,,,,,,2.37,1.82,1.26,1.92,1.93,0.88,2.06,0.79,0.32,1.74,1.37,1.06,1.9,1.76,1.93,0.82,2.71,1.33,1.76,0.88,1.64,0.42,2.26,3.77,1.55,1.21,0.86,0.14,2.5,0.65,0.68,1.05,1.5,2.38,1.77,,,,,,,,,,,,3.85,3.71,0.59,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.67,1.88,2.04,4.56,2.96,,,,,,2.46,4.46,2.04,0.82,3.39,1.46,3.23,1.83,1.61,1.4,0.51,0.27,0.83,3.9,1.41,1.05,1.67,2.02,2.89,2.22,1.63,1.3,4.93,1.9,1.31,2.32,2.54,1.56,1.57,1.03,1.84,1.9,1.87,1.78,0.93,,,,,,,,,,,,2.53,4.91,1.43,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,3.73,1.6,0.98,3.31,4.36,,,,,,2.42,0.93,1.35,1.36,0.59,2.29,2.06,1.79,0.64,2.18,0.61,2.56,2.39,0.46,1.12,3.41,2.27,2.53,3.06,0.53,3.34,3.81,2.18,1.11,2.87,1.07,1.47,2.62,1.19,2.79,0.36,1.23,1.7,0.48,0.64,,,,,,,,,,,,1.83,0.66,2.14,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,6.49,1.07,3.32,0.59,3.28,,,,,,0.11,3.26,1.27,5.59,2.06,3.06,2.19,1.88,3.51,2.89,2.72,1.23,0.3,0.8,1.78,2.28,1.66,1.39,3.1,2.61,0.47,0.77,2.46,3.78,2.57,1.75,0.43,3.77,1.32,2.66,3.78,1.72,1.36,2.87,2.51,,,,,,,,,,,,3.53,4.34,2.53,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.52,1.92,4.41,4.31,4.21,,,,,,2.63,1.21,0.95,1.86,1.89,1.39,4.49,2.04,1.69,2.07,1.78,2.35,4.79,2.39,2.11,3.35,1.56,3.21,3.56,3.18,3.02,0.82,2.49,3.11,2.42,2.79,1.56,6.96,0.39,1.55,1.72,3.08,5.55,1.56,2.08,,,,,,,,,,,,2.7,2.01,0.73,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,2.95,5.8,1.6,2.77,2.67,,,,,,3.63,1.58,1.76,1.2,2.64,0.87,0.69,2.67,0.77,1.37,0.64,4.74,2.16,0.48,4.73,0.55,1.63,1.22,2.73,1.98,1.35,0.91,0.66,1.43,2.93,0.69,1.33,0.88,1.33,1.02,1.5,0.86,1.63,4.06,1.41,,,,,,,,,,,,3.73,3.07,1.57,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,6.11,1.35,1.41,2.32,0.63,,,,,,3.77,4.08,2.13,0.38,3.01,1.09,5.5,3.81,2.88,2.75,2.5,3.7,1.41,2.35,2.79,1.88,1.51,2.18,6.22,0.67,0.95,4.13,4.66,1.18,3,2.31,1.98,2.3,3.33,1.89,1.77,2.42,2.87,1.34,1.59,,,,,,,,,,,,0.48,3.07,1.7,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,4.42,3.28,2.9,3.16,1.24,,,,,,3.34,2.03,1.76,3.48,0.96,3.16,2.82,1.25,1.88,3.18,3.72,1.04,1.06,1.91,1.71,1.94,0.77,1.73,1.49,1.33,2.74,3.6,2.09,0.95,0.68,3.33,2.39,1.75,2.3,2.7,2.6,3.29,1.16,1.85,1.57,,,,,,,,,,,,2.78,2.32,1.58,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,1.14,5.39,2.15,1.78,0.61,,,,,,0.76,4.03,1.49,1.73,1.38,0.51,3.27,1.53,2.06,1.92,1.71,3.37,2.39,2.18,1.53,3.56,3.39,1.18,1.1,1.65,0.78,2.49,3.6,1.75,3.78,5.91,4.14,3.04,0.96,5.46,3.75,2.63,0.73,2.41,3.96,,,,,,,,,,,,0.81,0.99,0.29,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,34.08,33.58,29.33,28.37,27.28,,,,,,26.66,28.45,18.8,24.53,23.45,19.03,29.06,20.7,19.56,23.7,20.69,24.94,26.33,19.37,25.63,27.53,21.5,20.98,32.06,22.29,19.71,25.58,28.73,24.2,25.37,26.43,20.28,30.8,22.1,24.73,23.69,28.13,22.25,22.72,27.55,,,,,,,,,,,,26.26,28.83,19.12,20.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some identical values with nearby monthly gauge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
