KILDARY TARBAT HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NH769736,Long,-4.069145,Lat,57.735211,Elevation,40,ft,,,,,,,,,,,,
Station no,RR6098,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.71,3.08,1.19,1.94,1.79,5.15,2.44,3.2,2.25,1.25,1.76,1.9,,,,,,
February,,,0.54,2.52,2.89,2.57,1.67,1.09,4.36,0.74,1.19,3.19,1.7,1.62,,,,,,
March,,,0.8,2.38,0.89,3.31,2.06,2.02,2.58,2.87,0.88,1.88,2.02,2.11,,,,,,
April,,,0.82,2.01,2.09,1.57,1.34,0.47,2.1,2.96,4.57,2.19,0.88,2.64,,,,,,
May,,,2.5,2.03,1.05,1.67,4.56,4.5,1.36,1.67,1.31,2.03,2.94,2.04,,,,,,
June,,,3.22,1.18,0.96,0.47,0.18,4.68,1.58,2.24,2.61,2.47,4.92,2.82,,,,,,
July,,,3.08,3.97,1.14,1.61,1.54,1.26,1.49,2.96,4.53,2.79,1.92,0.92,,,,,,
August,,,2.09,2.74,3.31,2.54,2.84,3.23,0.69,1.68,4.23,0.55,7.78,1.72,,,,,,
September,,,1.56,2.11,1.52,1.67,1.47,0.68,5.41,1.68,1.17,1.24,2.24,5.07,,,,,,
October,,,1.5,4.79,1.25,2.77,1.4,3.08,,3.78,1.16,3.31,3.52,1.55,,,,,,
November,,,0.59,3.13,1.9,3.79,4.9,,,2.3,3.46,5.37,4.46,3.2,,,,,,
December,,,2.48,1.18,2.02,1.84,1.74,,,2.92,2.52,2.58,5.1,3.97,,,,,,
Total,,,20.89,31.12,20.21,25.75,25.49,,,29,29.88,28.85,39.24,29.56,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR6098,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
