"BEDFORD (RENHOLD)",,,,,,,,,,,,
Grid ref,TL087529,Long,-0.412229,Lat,52.163677,,,,,,,
Station no,1181/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.51,1.24,1.11,0.79,1.73,3.67,0.80,2.36,3.01,2.25,,
February,2.73,0.61,1.49,1.70,1.43,0.55,2.04,2.29,0.10,2.16,,
March,2.69,2.79,0.47,2.13,1.31,0.53,1.43,1.53,1.98,1.63,,
April,3.16,1.40,1.76,0.39,0.53,1.22,0.20,0.87,1.32,0.31,,
May,2.44,1.70,1.75,2.70,3.65,0.50,1.04,1.68,0.52,1.19,,
June,1.15,0.98,2.06,2.77,2.39,2.61,1.79,5.15,0.57,2.01,,
July,1.31,0.45,1.55,2.56,0.51,3.53,2.15,2.21,2.39,3.57,,
August,3.96,3.55,3.44,3.77,0.70,3.46,2.61,2.40,0.67,2.76,,
September,1.76,2.13,0.72,1.85,1.88,1.73,3.06,2.77,0.05,3.81,,
October,1.06,2.75,1.58,1.86,1.45,1.45,1.42,1.86,1.85,4.25,,
November,3.89,3.34,1.49,3.57,1.04,0.68,1.51,1.81,1.61,2.83,,
December,1.37,2.21,0.55,2.36,1.77,2.38,2.21,2.35,2.83,2.95,,
Total,28.03,23.15,17.97,26.45,18.39,22.31,20.26,27.28,16.90,29.72,,
Calc annual,28.03,23.15,17.97,26.45,18.39,22.31,20.26,27.28,16.90,29.72,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
