BURLEY-PARK-VIEW-(MANOR-HOUSE),,,,,,,,,,,,,,,,,,,,,
Grid ref,SU212035,Long,-1.69957,Lat,50.83126,Elevation,210,ft,,,,,,,,,,,,,
Station no,RR7069,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,4.46,0.57,3.26,1.37,1.17,3.79,6.09,4.03,3.81,5.02,1.27,3.19,,,,,,
February,,,,0.64,4.12,6.79,5.07,1.37,1.16,3.39,0.53,0.22,2.85,6.43,0.49,,,,,,
March,,,,2.53,5.29,0.97,3.61,2.82,1.17,5.58,2.3,1.18,2.47,1.89,1.39,,,,,,
April,,,,3.08,0.96,1.37,0.74,2.13,2.38,1.5,2.92,0.85,3.61,4.08,2.59,,,,,,
May,,,,1.5,1.1,3.08,1.71,1.7,1.42,1.23,1.22,1.11,0.42,1.43,3.96,,,,,,
June,,,,0.45,1.06,0.47,2.39,2.19,1.31,0.97,2.23,0.34,0.92,0.43,2.46,,,,,,
July,,,,0.84,3.41,3.84,0.79,4.25,4.03,1.58,5.8,0.55,4.47,0.68,4.16,,,,,,
August,,,,1.94,3.09,1.3,4.38,5.58,2.56,3.68,1.2,1.7,3.37,2.66,3.06,,,,,,
September,,,,3.27,1.29,2.4,2.43,1.44,5.53,2.38,1.84,0.76,1.92,2.08,4.16,,,,,,
October,,,,4.91,2.39,4.51,5.54,4.95,2.18,0.81,1.92,0.98,1.3,5.56,4.15,,,,,,
November,,,,3.59,4.8,3.3,4.28,0.97,2.83,2.55,1.83,2.24,1.97,1.42,2.13,,,,,,
December,,,,1.54,9.27,7.92,4.54,1.06,2.58,6.52,3.35,1.54,4.61,3.21,4.8,,,,,,
Total,,,,28.75,37.35,39.21,36.85,29.63,30.94,36.28,29.17,15.28,32.93,31.14,36.54,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1912 Not printed Bad As gauge moved at end of year data deleted,,,,,,,,,,,,,,,,,,,,,
Large garden but elevation matches kitchen garden,,,,,,,,,,,,,,,,,,,,,
1913 Gauge moved unknown distance but elevation 50ft higher than in 1912,,,,,,,,,,,,,,,,,,,,,
1914 Gauge lowered to 1ft 4in above ground,,,,,,,,,,,,,,,,,,,,,
1924 Nov Gauge moved unknown distance W,,,,,,,,,,,,,,,,,,,,,
