BURLEY-PARK-VIEW,,,,,,,,,,,,,,,,,,,,
Grid ref,SU216035,Long,-1.69466,Lat,50.83103,Elevation,190,ft,,,,,,,,,,,,
Station no,RR6844,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.84,1.3,2.41,5.1,0.22,8.78,1,1.13,1.21,2.75,1.36,5.1,5.76,0.76,,,,,
February,,0.79,1.84,2.24,5.01,0.54,3.51,1.35,1.26,0.26,4.36,2.14,3.24,1.38,5.21,,,,,
March,,3.14,2.51,4.15,1.86,5.28,1.44,0.54,3.4,4.75,1.24,2.23,4.81,3.05,5.58,,,,,
April,0.6,3.08,1.82,3.16,1.49,1.93,1.29,4.12,2.49,1.53,2.52,2.21,0.05,3.74,1.07,,,,,
May,2.64,1.1,2.49,3.58,3.11,0.6,2.4,2.01,2.02,1.2,1.78,1.42,1.3,2.89,1.26,,,,,
June,2.41,0.86,3.94,2.44,0.94,2.79,1.56,1.88,0.66,5.01,3.19,1.96,5.2,0.69,1.07,,,,,
July,0.96,2.56,1.66,3.98,2.2,0.45,1.07,1.84,2.3,2.88,2.87,0.1,2.76,0.86,3.52,,,,,
August,4.16,2.33,4.29,5.07,2.95,3.83,1.19,1.83,3.69,3.21,1.96,1.22,7.84,1.04,3.35,,,,,
September,0.82,3.18,1.55,2.75,3.56,2.43,0.93,0.56,3.77,3.75,0.21,1.36,2.75,3.66,1.41,,,,,
October,3,3.27,2.5,10.3,3.67,1.72,7.63,9.27,1.92,9.14,4.74,5.27,4.28,6.01,2.48,,,,,
November,4.41,0.48,3.91,2.35,1.74,5.5,4.95,3.04,1.18,1.14,3.3,4.58,2.09,3.83,5.1,,,,,
December,5,5.29,2.11,3.37,4.7,1.25,2.5,5.11,3.73,5.58,5.92,9.08,4.83,2.18,9.96,,,,,
Total,,27.92,29.92,45.8,36.33,26.54,37.25,32.55,27.55,39.66,34.84,32.93,44.25,35.09,40.77,,,,,
,,,,,,,,,,,,,,,,,,,,
Park View Lymington Rd Burley,,,,,,,,,,,,,,,,,,,,
1900 sheet originally said Burley Manor Observer joint inherited property but in early 1900s was at Manor Cottage,,,,,,,,,,,,,,,,,,,,
Manor Cottage not found but assumed on estate as Park View was and so likely near Park View with similar elevation,,,,,,,,,,,,,,,,,,,,
