BOROUGHBRIDGE ALDBOROUGH,,,,,,,,,,,,,,,,,,,,
Grid ref,SE406663,Long,-1.3807745,Lat,54.091012,Elevation,70,ft,,,,,,,,,,,,
Station no,RR2945,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,3.04,2.42,1.45,3.57,0.72,3.29,2.39,0.99,0.26,0.54,1.8,3.11,4.11,2.16,3.07,,,
February,,,2.44,1.17,1.2,0.73,2.27,1.76,1.19,2.79,2.09,3.85,1.32,2.43,1.88,1.9,0.68,,,
March,,,1.88,1.98,1.47,0.52,3.34,2.38,0.77,1.11,1.73,2.84,1.77,1.75,2.1,1.5,2,,,
April,,,2.66,0.98,0.8,0.65,1.89,3.59,1.11,1.76,2.09,0.74,4.33,2.04,1.97,1.59,2.38,,,
May,,1,1.87,1.85,2.02,1.68,0.69,2.32,4.26,1.68,1.99,1.54,1.96,1.17,1.3,2.83,3.95,,,
June,,4.63,5.05,1.66,1.31,2.07,1.71,1.08,3.2,3.61,2.12,2.73,4,2.89,0.92,2.92,0.63,,,
July,,2.52,6.56,2.35,1.85,3.1,1.97,3.85,1.14,4.53,5.63,3.33,3.35,4.17,4.41,0.89,4.04,,,
August,,,3.02,1.94,2.19,1.5,1.89,3.54,4.74,2.54,1.59,4.66,2.09,1.1,1.33,1.64,1.68,,,
September,,4.5,3.36,1.31,2.06,1.88,3.67,3.6,1.82,1.64,4.3,2.85,1.7,3.88,2.47,2.99,1.36,,,
October,,2.59,4.45,2.04,2.02,4.18,2.81,3.57,2.33,0.71,3.69,2.78,3.43,3.67,1.14,3.65,3.74,,,
November,,0.78,3.62,1.56,2.61,3.47,2.5,2.46,5.08,1.16,2.18,2.97,2.66,1.94,1.06,2.16,2.02,,,
December,,1.18,3.25,0.27,2.8,0.84,5.97,1.91,1.67,1.15,4.42,2.86,3.17,1.46,1.77,0.74,,,,
Total,,,41.2,19.53,21.78,24.19,29.43,33.35,29.7,23.67,32.09,31.69,31.58,29.61,24.46,24.97,,,,
