BICESTER MIDDLETON PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP525234,Long,-1.238267,Lat,51.906672,Elevation,326,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.61,2.78,0.43,0.92,1.44,2.63,2.63,2.23,3.28,2.61,0.84,0.72,2.46,1.85,0.66,2.24,2.05,2.98,1.05,2.31,0.64,3.55,3.36,1.07,0.64,2.6,3.48,0.91,4.27,0.88,1.46,1.03,1.85,1.3,4.08,3.74,0.6,2.74,1.44,1.6,2.38,3.34,2.36,2.58,2.77,1.58,2.88,1.53,3.54,2.48,4.17,1.44,3.07,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.64,3.2,2.77,2.89,1.52,4.18,1.28,2.96,0.91,0.83,1.99,2.11,0.72,0.01,0.81,2.5,2.01,0.13,0.39,3.1,1.27,2.79,5.21,1.51,1.3,0.86,3.72,0.64,1.9,1.51,0.91,0.52,3.29,1.56,2.55,1.17,2.38,3.55,3.92,1.38,1.57,2.89,0.75,0.52,2.78,4.36,0.39,3.25,2.22,3.66,1.98,0.65,0.79,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,0.86,1.12,1.95,1.95,1.86,1.12,1.84,1.14,2.15,1.38,2.91,1.61,1.13,1.17,0.61,0.28,1.8,1.76,2.72,3.56,0.8,0.54,0.56,1.88,1.46,3.59,1.38,2.81,1.3,0.97,2.68,2.5,0.88,2.2,3.34,3.11,3.7,1.19,5.23,2.03,0.65,4.59,2.06,1,1.83,2.04,1.02,0.47,0.5,2.74,1.75,0.05,1.34,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.62,2.35,1.8,0.6,3.86,0.99,1.55,1.81,1.95,1.09,1.97,2.55,1.82,0.95,0.75,0.19,1.68,1.98,0.74,1.53,1.75,1.91,0.86,2.19,1.45,2.31,0.84,1.98,0.54,2.59,3.87,2.09,2.59,1.25,0.03,3.63,1.04,0.78,1.33,1.29,3.08,2.73,5.08,1.1,3.58,2.47,3.27,2.24,3.73,1.67,1.11,1.57,2.55,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,5.86,2.66,0.85,3.74,1.2,1.65,0.89,2.15,4.32,1.84,1.38,3.95,1.54,3.85,1.31,1.28,2.05,0.2,0.33,1.3,3.05,1.45,1.76,1.45,1.92,5.57,2.88,0.65,1.71,2.49,1.48,2.02,1.89,1.9,2.35,2.05,1.02,2.71,2.01,2.44,2.34,0.45,2.03,1.59,1.38,1.21,5.71,2.9,2.52,1.25,0.64,1.8,1.85,,6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.14,5.25,1.6,1.91,3.77,3.81,2.1,2.21,1.09,1.52,1.99,0.88,2.1,1.26,2.14,0.85,1.86,0.82,2.07,2.49,1.34,1.09,1.98,1.47,1.83,4.65,0.73,3.67,3.49,2.17,1.55,5.74,2.74,1.61,2.59,0.69,2.4,1.49,2.23,1.91,0.91,0.97,2.46,0.3,1.22,0.33,2.79,0.05,3.36,3.42,2.2,1.02,1.16,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,1.47,4.32,6.6,2.29,2.98,4.48,2.17,0.17,4.63,1.28,5.31,3.41,3.63,3.13,2.36,3.75,3.05,3.22,1.32,0.63,0.92,0.89,1.94,4.45,1.22,3.48,2.29,0.56,1.13,2.23,1.92,3.23,2.23,0.43,3.49,0.69,2.26,5.83,2.69,2.97,3.56,2.28,4.75,0.49,5.37,2.07,3.34,6.17,2.38,3.81,2.66,1.46,3.23,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,5.85,4.88,0.4,5.71,2.19,0.92,1.06,2.62,1.8,1.2,1.94,2.36,2.57,5.18,2.7,1.5,2.39,2.12,2.01,4.21,1.87,1.01,4.3,2.21,2.89,3.43,1.62,3.77,0.8,2.1,2.95,3.22,2.47,1.12,6.17,0.7,2.08,1.28,4.02,4.87,1.37,2.57,1.35,1.66,4.81,2.27,2.42,2.5,1.14,4.05,2.01,1.15,2.7,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.53,2.12,4.07,1.39,3.28,4.46,1.32,4.63,2.45,2.72,1.26,2.41,1.33,0.96,2.68,0.77,2.55,0.8,5.43,2.35,0.86,2.36,0.44,1.46,2,2.25,1.84,0.87,1.12,0.61,1.78,3.47,0.47,1.63,1.23,2.27,1.36,2.4,0.76,2.06,5.7,1.93,2.1,1.86,1.71,2.75,3.98,3.68,1.4,5.89,0.84,0.28,3.17,,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.9,1.3,6.32,2.24,5.98,2,1.21,3.94,4.38,2.08,0.79,3.33,1.37,6.49,4,2.25,3.65,3.07,3.17,1.8,4.7,3.07,2.15,1.83,1.8,6.67,0.82,1.19,5.01,5.13,1.13,4.05,3.41,2.81,3.19,4.01,2.72,2.45,3.85,4,1.8,1.87,1.9,1.44,0.69,4.14,3.42,3.43,2.27,1.75,3.86,3.48,1.26,,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
