ARBROATH WATERWORKS monthly,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,
Grid ref,NO634407,Long,-2.597023,Lat,56.556839,Elevation,58,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,2.2,2.06,1.06,,,,1.4,2.37,2.71,0.48,0.89,1.12,2.67,3.63,1.43,0.7,4.08,1.52,0.44,1.45,0.73,1.27,0.98
February,,,,,,,,1.05,0.85,0.98,,,,2.56,3.57,0.92,0.75,0.92,0.68,2.23,3.37,1.4,1.26,2.92,3.57,0.8,0.75,0.89,0.45,0.56
March,,,,,,,,0.87,3.29,0.99,,,,1.13,0.49,3.09,1.28,2.96,0.53,1.52,1.15,1.49,0.91,1.98,1.58,2.83,0.87,1.41,2.81,2.56
April,,,,,,,,1.42,1.33,3.2,,,,1.1,0.71,0.99,0.92,1.37,3.61,2.83,1.94,2.14,1.8,0.73,0.89,1.48,0.8,1.92,0.53,2.95
May,,,,,,,,0.84,1.34,1.32,,,,1.24,3.55,0.67,1.01,1.41,1.94,3.47,1.03,1.71,2.12,1.36,1.73,1.2,4.25,4.95,1.43,1.81
June,,,,,,,,0.61,1.93,1.06,,,,2.29,1.81,1.24,2.33,3.79,0.87,1.98,1.7,1.54,1.86,1.78,0.7,0.49,1.38,3.65,0.81,0.47
July,,,,,,,,1.61,4.65,3.38,,,,1.72,2.92,4.01,3.33,1.45,0.39,1.34,4.08,0.56,2.78,4.33,0.83,1.43,1.52,1.73,1.71,2.12
August,,,,,,,,2.64,1.31,5.22,,,,2.39,4.62,3.55,2.21,3.16,2.27,0.36,2.9,3.15,1.93,4.4,4.49,3.02,4.71,2.3,1.96,
September,,,,,,,,2.78,0.34,0.41,,,,1.87,0.31,0.81,2.95,1.57,1.37,3.03,2.26,0.75,1.33,1.88,1.76,0.88,1.16,0.92,3.68,
October,,,,,,,,0.72,1.18,3.11,,,,2.71,2.89,1.71,2.81,1.98,3.27,0.76,2.93,1.5,1.19,4.61,0.75,2.04,3.74,3.19,1.69,
November,,,,,,,,2.18,4.09,0.76,,,,1.3,1.51,2.62,0.95,1.38,3.39,1.81,3.36,1.68,2.25,0.97,0.62,4.54,2.86,1.78,1.25,
December,,,,,,,,1.46,2.05,1.05,,,,1.33,1.73,2.82,5.12,3.15,1.95,4.18,3.3,2.6,2.61,2.1,1.37,0.92,2.7,2.63,2,
Total,,,,,,,,18.38,24.42,22.54,,,,21.04,26.48,25.14,24.14,24.03,21.39,26.18,31.65,19.95,20.74,31.14,19.81,20.07,26.19,26.1,19.59,
