ARBROATH WATER WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO634407,Long,-2.597023,Lat,56.556839,Elevation,58,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,2.18,2.06,0.96,2.06,0.62,1.42,1.33,2.31,2.74,0.43,0.85,1.13,3.39,3.65,1.43,0.71,3.38,1.46,0.34,1.38,0.88,1.27,1.04
February,,,,,,,,1,0.8,0.75,0.96,0.09,1.07,2.57,3.53,1.28,0.72,0.9,0.53,2.23,3.36,1.36,1.07,3.31,3.75,0.69,0.63,0.88,0.4,0.58
March,,,,,,,,0.72,3.32,0.78,1.75,1.91,0.6,0.91,0.44,3.21,1.18,2.91,0.52,1.5,1.25,1.34,0.93,1.78,1.43,2.74,0.84,1.36,2.9,2.51
April,,,,,,,,1.41,1.3,2.88,0.36,0.51,0.56,1.24,0.7,0.97,0.86,1.35,3.61,2.7,1.37,2.06,1.72,0.69,1.33,1.43,0.81,1.8,0.42,2.51
May,,,,,,,,0.87,1.35,1.26,2.63,1.27,2.44,1.33,3.59,0.65,0.99,1.6,1.97,3.57,1.04,1.68,1.91,1.33,1.63,1.32,4.24,3.88,1.62,1.9
June,,,,,,,,0.6,1.88,1.06,2.56,0.35,2.67,2.45,1.81,1.2,2.33,3.82,0.84,1.46,1.49,1.6,1.96,1.58,0.56,0.48,1.31,4.76,0.84,0.27
July,,,,,,,,1.59,4.63,3.11,3.9,2.86,1.97,1.62,2.7,3.98,3.3,1.24,0.37,1.4,4.04,0.48,2.78,4.32,0.77,1.17,0.7,1.88,1.76,2.12
August,,,,,,,,2.66,1.33,4.98,2.29,4.09,3.89,2.31,4.06,3.51,2.26,3.1,2.24,0.35,3.05,3.13,1.86,3.74,4.46,2.96,5.68,2,1.17,
September,,,,,,,,2.51,0.33,0.35,2.23,4.23,1.35,1.92,0.29,0.78,2.9,1.52,1.36,2.86,2.18,0.85,1.26,2.39,1.62,0.76,1.1,1.05,4.62,
October,,,,,,,,0.66,1.18,2.9,1.66,1.92,3.84,2.72,2.83,1.7,2.75,1.89,3.26,0.74,2.64,1.62,1.11,4.47,0.74,1.09,3.62,3.19,1.71,
November,,,,,,,,2.1,4.04,0.78,3.33,2.69,1.99,1.29,1.46,2.55,1.05,1.32,3.41,1.81,3.48,1.61,2.18,0.84,0.73,5.34,2.86,1.78,1.21,
December,,,,,,,,1.46,1.96,0.95,1.64,2.96,0.91,1.27,1.64,2.72,5.53,3.1,1.21,4.2,3.26,2.6,2.36,1.9,1.16,0.87,2.67,2.66,2.15,
Total,,,,,,,,17.76,24.18,20.76,25.37,23.5,22.71,20.96,25.36,25.29,24.3,23.6,20.45,26.21,30.81,19.76,19.85,29.73,19.64,19.19,25.84,26.12,20.07,
