ARBROATH WATERWORKS TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO635407,Long,-2.595396,Lat,56.556847,Elevation,157,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,1.73,0.74,1.57,0.51,,,1.56,1.25,0.34,0.35,0.92,2.56,2.36,0.82,0.45,1.59,,,,,,
February,,,,,,,,,0.38,0.75,0.51,0.02,,,2.39,0.19,0.63,0.59,0.39,1.75,0.85,1.03,0.63,1.7,,,,,,
March,,,,,,,,,1.6,0.49,0.78,0.51,,,0.35,1.3,1,1.72,0.16,0.98,0.26,0.8,0.73,1.19,,,,,,
April,,,,,,,,,0.92,1.52,0.22,0.26,,,0.37,0.77,0.77,1.04,2.13,1.9,1.09,1.73,1,0.36,,,,,,
May,,,,,,,,,0.95,1.04,1.73,1,,,2.54,0.58,0.86,1.11,1.32,2.5,0.63,1.14,1.4,0.64,,,,,,
June,,,,,,,,,1.36,0.91,1.85,0.26,,,1.53,0.93,1.64,2.91,0.69,1.19,1.62,1.14,1.48,1.24,,,,,,
July,,,,,,,,,3.35,1.74,3.12,2.29,,,2.29,2.8,2.35,1.07,0.3,1.03,3.06,0.37,1.96,2.51,,,,,,
August,,,,,,,,,0.95,3.7,1.69,2.23,,,3.8,3,1.97,2.54,1.88,0.3,1.94,2.75,1.55,2.08,,,,,,
September,,,,,,,,,0.24,0.32,1.71,3.14,,,0.19,0.68,2.17,1.3,1.23,1.65,1.75,0.66,0.85,1.29,,,,,,
October,,,,,,,,,0.84,2.31,1.36,1.17,,,1.73,1.28,2.15,1.26,1.32,0.52,2.45,1.44,0.81,2.14,,,,,,
November,,,,,,,,,2.58,0.65,2.68,1.73,,,1.25,1.78,0.76,1.02,1.7,1.32,2.43,1.4,1.07,0.36,,,,,,
December,,,,,,,,,1.55,0.78,1.17,2.08,,,1.36,1.74,3.72,2.43,0.94,2.65,2.16,1.45,0.82,1.09,,,,,,
Total,,,,,,,,,16.45,14.95,18.39,15.2,,,19.36,16.3,18.36,17.34,12.98,18.35,20.6,14.73,12.75,16.19,,,,,,
