ARBROATH WATERWORKS TOWER monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO635407,Long,-2.595396,Lat,56.556847,Elevation,157,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,1.73,0.8,,,,,,1.2,0.3,0.37,0.84,1.87,1.7,0.7,0.43,2.17,,,,,,
February,,,,,,,,,0.4,0.59,,,,,,0.16,0.6,0.54,0.36,1.75,0.77,1.06,0.76,1.8,,,,,,
March,,,,,,,,,1.58,0.54,,,,,,1.19,0.96,1.69,0.13,0.9,0.23,0.81,0.68,1.37,,,,,,
April,,,,,,,,,0.95,1.82,,,,,,0.67,0.72,1.03,2.09,1.93,1.03,1.71,1.03,0.32,,,,,,
May,,,,,,,,,0.95,1.08,,,,,,0.52,0.86,1.01,1.24,2.06,0.67,1.17,1.47,0.66,,,,,,
June,,,,,,,,,1.41,0.9,,,,,,0.88,1.6,2.87,0.66,1.24,1.4,1.04,1.54,1.5,,,,,,
July,,,,,,,,,3.3,1.87,,,,,,2.79,2.11,1.2,0.23,1.04,3.09,0.54,1.96,3.01,,,,,,
August,,,,,,,,,0.94,3.8,,,,,,2.98,2.01,2.5,1.74,0.29,2.03,2.61,1.45,3.12,,,,,,
September,,,,,,,,,0.24,0.34,,,,,,0.71,1.96,1.25,0.68,1.73,1.61,0.75,0.96,1.41,,,,,,
October,,,,,,,,,0.84,2.44,,,,,,1.25,1.95,1.13,1.29,0.46,1.28,1.34,0.91,3.12,,,,,,
November,,,,,,,,,2.74,0.64,,,,,,1.82,0.65,0.97,1.65,1.17,1.3,1.34,0.92,0.62,,,,,,
December,,,,,,,,,1.73,0.82,,,,,,1.64,3.53,2.64,1.38,2.32,2.15,1.44,1.11,1.39,,,,,,
Total,,,,,,,,,16.81,15.64,,,,,,15.81,17.25,17.2,12.29,16.76,17.26,14.51,13.22,20.49,,,,,,
