CLEVEDON-MOUNT-HEBER-COTTAGE,,,,,,,,,,,,,
Grid ref,ST406717,Long,-2.85491,Lat,51.44156,Elevation,144,ft,,,,,
Station no,2048,,,,,,,,,,,,
,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932
January,4.07,3.31,2.86,2.01,4.72,2.84,4.61,3.17,5.93,1.1,4.59,1.72,4.4
February,1.21,0.16,3.61,6.16,0.37,3.99,1.73,2.94,3.06,1.13,0.43,1.72,0.06
March,2.77,2.01,3.64,1.36,1.87,0.29,0.28,2.78,3.21,0.64,1.76,0.69,2.32
April,4.1,0.66,2.78,2.36,2.47,1.73,2.85,1.26,1.25,0.82,2.97,2.63,2.65
May,2.29,1.79,0.88,1.67,4.54,4.51,1.89,1.4,0.86,2.75,1.12,2.77,5.94
June,3.46,0.17,0.96,0.63,2.83,0.01,1.76,2.65,2.73,2.1,0.8,4.65,1.09
July,4.48,0.59,4.27,2.42,5.48,4.21,1.97,4.14,2.59,1.44,2.95,3.73,4.14
August,-999,3.68,4.2,4.35,5.78,3.9,3.1,3.37,2.49,4.03,3.78,3.9,1.6
September,-999,4.6,1.75,3.4,4.46,3.64,1.41,5.49,1.15,0.43,3.64,1.72,4.93
October,2.66,1.7,1.29,4.91,5.29,3.89,4.09,2.56,5.89,6.25,3.46,1.05,6.77
November,2.02,2.11,1.46,3.07,3.11,1.65,6.68,3.05,3.55,8.92,4.37,4.08,1.87
December,2.91,2.22,5.26,3.03,4.76,4.54,0.32,3.12,3.38,7.07,3.53,2.1,1.63
Total,34.33,23,32.96,35.37,45.68,35.2,30.69,35.93,36.09,36.68,33.4,30.76,37.4
,,,,,,,,,,,,,
Heber Cottage 33 Hill Road,,,,,,,,,,,,,
1920 Aug Sept Partly distributed Combined value 4.36,,,,,,,,,,,,,
1933 Gauge moved 270yds SE to Mount Dial,,,,,,,,,,,,,
