HAMPSTEAD-BRANCH-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ260860,Long,-0.1838096,Lat,51.558817,Elevation,380,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,1.1,5.13,1.33,2.25,0.37,1.8,1.42,2.43,2.16,,4.47,1.5,0.92,,2.26,1.8,0.56,1.5,3.02,1.99,0.97,,,2.58
February,,,,,,,2.06,1.95,1.48,4.1,2.31,3.61,1.36,3.67,1.34,,0.69,0.55,0.83,,1.11,0,1.56,2.89,1.88,0.22,0.37,,,2.48
March,,,,,,,2.74,2.46,1.28,1.46,0.81,2.35,1.32,0.81,1.48,,1.69,1.55,3.88,,1.91,2.17,0.98,0.32,1.35,1.49,3.98,,,0.54
April,,,,,,,1.79,2.85,4.87,2.9,2.18,0.6,3.25,1.61,1.15,,1.12,1.26,2.33,1.86,1.78,1.27,0.91,0.12,2.05,1.23,0.42,,,2.83
May,,,,,,,0.73,2.25,6.12,3.69,0.37,1.26,1.31,1.84,1.04,,4.62,1.7,1.15,4.27,1.3,2.62,1.41,0.85,1.64,0.4,0.21,,,1.43
June,,,2.09,,,,1.68,0.79,3.29,5.39,3.74,1.71,2.53,2.02,2.91,,0.69,1.03,2.49,2.02,2.49,0.83,2.51,0.63,1.91,0.37,1.8,,,2.12
July,,,2.27,,,,0.67,3.72,0.95,4.47,5.57,2.22,2.83,2.29,2.09,,2.78,1.16,4.95,3.16,4.89,3.6,1.55,1.79,3.11,4.18,1.34,,,1.49
August,,,2.27,,,,2.51,4.06,6.08,5.17,0.33,4.66,1.46,1.76,1.15,,0.85,2.18,3.4,1.82,1.24,4,3.02,1.33,2.66,3.47,2.37,,,0.61
September,,,1.63,,,,3.55,1.09,1.23,3.31,4.02,2.6,2.79,3.64,1.37,,1.74,2.2,1.77,1.68,0.76,0.97,1.81,0.99,1.32,1.32,7.38,,,2.88
October,,,5.66,,,,1.32,1.76,2.01,0.85,5.53,3.11,5.8,1.83,1.05,,2.65,1.44,1.33,4.16,1.19,5.22,3.71,4.08,4.66,3.39,3.86,,,2.35
November,,,3.43,,,,3.26,3.82,3.02,0.86,1.95,2.55,2.79,2.76,1.59,,2.82,3.31,4.99,1.2,1.77,1.98,2.62,2.15,3.13,4.02,1.54,,,4.18
December,,,3.97,,,,6.7,1.42,1.51,0.76,3.22,2.89,2.65,0.84,3.74,,4.96,1.49,1.21,1.45,0.93,3.05,1.43,2.13,2.41,2.55,4.88,,,1.27
Total,,,,,,,28.11,31.3,33.17,35.21,30.4,29.36,29.51,25.5,21.07,,29.08,19.37,29.25,,21.63,27.51,22.07,18.78,29.14,24.63,29.12,,,24.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Branch Hill Lodge. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897 ansd 1898 records noted as being unreliable so deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
