WESTEND-DEEP-GRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK123951,Long,-1.8162499,Lat,53.452517,Elevation,1360,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2706/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,5.15,3.72,4.68,7.2,8.1,8.4,,,,7.99,11.94,,7.38,4.8,16.02,3.82,3.9,8.49,,2.51,6.2,,8.36,5.12,6,5.35,7.55
February,,,,0.4,9.02,,10.1,3.63,5.97,,,,5.06,4.9,6.77,10.76,3.5,5,3.92,8.56,8.19,4.42,,5.6,,1.87,4.78,8.1,1.17,3.84
March,,,,4.77,3.15,,5.11,2.94,4.57,4.31,7.47,,2.49,1.3,2.07,2.74,9.51,2.25,3.15,3.85,7.4,3.59,4.19,1.83,,,5.5,4.16,2.89,2.14
April,,,,3.48,4,2.55,3.86,0.72,3.68,4.35,4.32,2.32,3.62,4.62,3.71,2.21,4.82,3.66,6.57,6.14,3.54,3.95,3.64,0.86,2.39,3.36,0.63,1.42,5.72,3.6
May,,,,3.38,0.68,1.98,3.54,5.05,3.2,1.13,3.53,4.51,3.52,6.2,3.31,2.81,3.22,2.56,4.17,3.22,3.63,2.83,2.6,3.82,5.83,1.64,1.73,4.55,1.88,2.88
June,,,,2,4.62,4.78,2.79,4.54,3.57,1.51,3.08,1.25,5.05,4.24,6.15,5.48,2.94,7.62,1.02,1.95,1.54,3.76,4.68,3.92,4.47,5.5,2.15,4.6,2.98,2.13
July,,,,6.62,2.49,6.94,4.9,6.32,9.91,6.05,4.1,7.24,3.19,5.02,1.77,6.94,3.58,2.6,3.47,4.52,3.84,3.96,7.38,7.2,1.23,9.1,7.4,7.25,6.67,10.24
August,,,,4.97,2.21,3.03,1.91,4.25,3.27,3.75,7.97,6.04,9.07,4.18,4.09,5.82,0.38,6.32,4.72,4.35,7.53,3.1,5.56,,1.14,12.6,8.48,4.64,1.05,6.25
September,,,,3.42,,8.45,2.02,3.5,3.07,5.69,1.04,4.52,5.96,7.31,3.8,8.91,2.53,3.42,2.88,7.98,3.61,8.06,2.67,6.53,2.66,4.76,10.4,,,4.56
October,,,,8.82,14.2,7.04,3.4,10.9,4.98,5.68,,8.26,3.32,7.19,8.26,1.77,1.57,3.76,5.6,3.74,0.97,7.29,2.96,6.47,5.11,4.73,7.6,,5.41,8.03
November,,,,3.81,8.53,8.65,2.81,8.92,9.24,11.14,4.8,2.41,6.69,10,1.42,12.1,8.6,3.06,11.56,9.96,12.43,4.68,4.1,10,3.29,4.15,4.06,1.71,6.87,8.41
December,,,,7.74,5.39,7.09,5.19,6.9,4.94,7.52,,5.11,3.65,6.75,4.13,5.76,7.92,5.26,10.67,4.56,10.98,5.56,2.77,10.72,8.38,8.29,7.3,6.1,9.12,6.35
Total,,,,54.56,,,52.83,65.77,64.8,,,,59.61,73.65,,72.68,53.37,61.53,61.55,62.73,72.15,,,,,,65.15,,,65.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 3234 DEEP GRAIN Start 1934 end 1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is near Deep Grain. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan & Feb corrected for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
