"PADIHAM (ALTHAM SEWAGE WORKS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2969,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,1.32,4.51,5.75,4.62,3.20,5.01,3.66,8.50,2.76,3.06,,
February,5.18,1.47,2.95,2.29,5.09,6.21,0.61,2.76,3.39,5.08,,
March,3.53,2.77,1.12,0.64,1.67,1.03,5.93,2.06,1.67,1.84,,
April,1.70,1.73,2.65,2.25,1.24,1.40,4.38,2.41,4.02,3.89,,
May,2.36,2.63,2.54,3.14,3.55,1.33,2.46,2.16,2.56,1.98,,
June,0.31,1.61,3.10,5.30,4.62,2.72,2.76,6.18,0.98,3.04,,
July,2.27,5.87,2.94,2.49,3.13,3.78,3.54,2.56,2.26,3.94,,
August,4.91,4.06,5.10,6.11,2.46,9.39,0.21,3.73,3.55,6.17,,
September,1.45,3.20,3.66,6.38,2.53,5.63,3.54,2.75,1.57,6.92,,
October,4.95,7.48,3.90,4.92,6.78,1.11,0.81,2.45,5.12,3.54,,
November,2.33,1.12,3.85,5.98,0.14,5.85,4.06,2.59,5.97,6.36,,
December,2.64,3.89,2.27,5.19,2.36,4.39,3.53,3.82,6.68,3.14,,
Total,32.95,40.34,39.83,49.31,36.77,47.85,35.49,41.97,40.53,48.96,,
Calc annual,32.95,40.34,39.83,49.31,36.77,47.85,35.49,41.97,40.53,48.96,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
