HAYFIELD-KINDER-SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK087878,Long,-1.8706585,Lat,53.386972,Elevation,2050,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/7/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.73,7.3,6.8,8.41,,5.3,,8.05,9.44,,6.92,5,13.5,5.86,4.51,,5.65,4.45,5.6,6.35,8.96,,,,11.05
February,,,,,,4.3,9.17,2.79,4.95,,9.8,,5.21,4.48,,8.7,2.5,4.28,3.33,8.37,6.12,5.2,3.85,5.2,4.35,3.54,4.45,,0.9,
March,,,,,,4.53,3.81,,4.24,4.65,6.68,,2.16,2.28,,3.11,8.78,,3.35,2.74,8.68,3.4,4.05,6.2,4.35,2.38,,,2.85,
April,,,,,4.22,2.49,5.75,,4.18,4.98,2.23,2.47,3.6,4,2.6,2.7,4.7,,,5.12,,4.7,3.65,1.2,2.85,2.68,0.81,,,
May,,,,,0.44,1.48,3,4.65,2.84,1.7,3.75,4.42,3.7,5.45,4.58,2.17,4.43,1.62,3.25,2.2,3.12,4.05,3.15,4.55,,2.95,,5.05,0.95,
June,,,,,4.98,4.24,3,5.7,3.73,1.1,3.07,1.55,5.02,5.1,4.17,5.5,3.18,7.66,1.73,3.76,2.23,3.9,4.1,4.6,,4.15,,,2.35,1.7
July,,,,,3.39,8.32,6.22,8.03,8.68,6.57,5.02,8.15,2.65,5.47,2.67,6,4.59,3.92,2.94,4.05,4.2,5.18,8.1,10.5,1.35,8.1,7.85,,5.48,
August,,,,,2.28,4.46,1.35,3.45,2.77,3.87,9,5.44,7.97,4.29,4.41,6,0.6,6.86,4.85,5,8.35,3.15,5.1,9.15,0.78,,8.55,,0.85,
September,,,,,8.32,9.7,2.06,3.98,2.11,5.67,1.2,5.29,7.02,7.27,3.2,8.02,2.98,4.12,2.32,7.2,4.12,7.45,3.4,6.55,3.35,5.35,9.95,,0.43,5.85
October,,,,,12.5,7.95,3.1,9.8,4.88,5.35,7.17,10.52,,6.05,8.67,1.79,1.71,4.04,5.18,3.08,1.65,7.1,3.15,9.2,4.35,3.6,,,4.1,7.5
November,,,,,7.38,7.1,2.77,6.77,9.17,10.14,5.39,2.12,6.11,10.93,1.5,9.39,8,3.8,7.86,6.75,12.4,4.35,4.05,9.5,3.5,2.6,,,7.1,7.3
December,,,,,8.08,7.91,4.37,7.5,4.35,7.59,4.73,5.21,3.05,4.73,3.98,6.25,7.42,3.88,8.82,5.15,7.5,5.1,3.4,11,8,,6.2,,8.55,6.2
Total,,,,,,68.21,51.9,,60.31,,63.34,,,69.49,,66.55,53.89,,,57.93,,59.23,50.45,83.25,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11874 KINDER SOURCE Start 1935 end 1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near the source of the Kinder. Alitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 1941 and Jan, Feb and Mar 1947 estimated for snow but left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
