LITTLE DRIFFIELD (Larkin),,,,,,,,
Grid ref,TA010580,Long,-0.460,Lat,54.008,Elevation,35,ft
Station no,RR1471,,,,,,,
,,,,,,,,
,1868,1869,1870,1871,,,,
January,1.88,2.75,1.53,0.93,,,,
February,1.38,1.65,2.78,2.33,,,,
March,1.61,2.28,1.57,0.99,,,,
April,1.59,1.06,0.48,2.79,,,,
May,1.15,5.11,1.08,1.34,,,,
June,0.65,1.06,2.43,2.83,,,,
July,0.63,0.36,0.44,3.74,,,,
August,3.01,1.17,2.03,0.57,,,,
September,2.34,2.83,1.45,4.98,,,,
October,2.71,2.42,5.68,1.58,,,,
November,1.25,2.06,2.47,,,,,
December,6.25,5.31,5.41,,,,,
Total,24.45,28.06,27.35,,,,,
,,,,,,,,
TYRain_1860-1869_05_pt1/166,,,,,,,,
TYRain_1870-1879_08_pt2/024,,,,,,,,
,,,,,,,,
# No detailed location information. Grid reference is for central Little Driffield village.,,,,,,,,
