PENSFORD SUTTON COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST597604,Long,-2.579949,Lat,51.341248,Elevation,280,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,0.92,1.02,4.38,3.61,1.91,3.11,3.45,4.39,0.65,2.3,0.87,6.8,5.93,2.64,1.77,4.72,4.34,0.86,5.55,1.72,1.71,1.57,4,1.97,5.45,5.44,1.29,4.19,2.76,1,3.92,5,5.17,4.59,3.82,2.38,4.04,4.31,5,4,5.47,0.65,5.42,2.52,4.41,3,2.94,1.05,4.37,5.3,4.84,5.58,2.86,3.3,3.39,6.52,2.31,2.87,3.12,2.79,7.17,1.12,0.54,3.24,3.3,0.65,2.65,4.23,6.19,2.47,4.22,5.7,5.04,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.92,1.88,0.79,0.01,2.13,5.29,3.87,0.18,0.71,3.3,3.03,4.65,8.02,1.46,1.08,2.38,4.91,1.03,2.99,1.88,1.93,0.66,5.92,2.64,3.33,1.24,3.98,6.31,6.15,0.98,2.21,3.08,1.53,0.08,5.28,8.75,0.58,5.12,2.5,3.46,3.36,1.91,1.17,3.3,0.09,3.86,0.37,3.35,3,6.47,1.53,2.23,2.72,3.2,0.32,1.92,0.87,3.45,3.43,1.81,2,1.52,7.19,4.57,0.89,1.65,3.64,3.09,0.41,3.8,6.59,0.4,3.71,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,3.94,4.52,1.18,3.35,1.08,0.39,2.86,3.37,4.22,5.23,0.95,1.31,1.9,3.19,2.11,5.79,2.32,5.28,2.28,1,3.68,3.38,1.01,3.43,6.89,4.83,5.42,0.98,5,3.56,1.22,5.14,2.92,2.05,3.78,1.71,1.8,0.4,1.3,3.36,3.47,0.25,2.36,1.04,2.24,3.7,2.52,0.93,3.05,4.78,0.3,1.78,2.9,3.4,2.38,1.14,0.44,1.33,0.99,6.72,1.78,1.33,1.52,3.54,3.45,0.75,4.07,1.56,2.02,2.79,1.57,4.46,3.73,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.55,4.35,2.18,1.33,1.24,0.13,2.82,3.25,1.01,3.59,2.43,4.15,2.28,3.29,1.52,3.12,2.51,2.65,1.11,3.92,2.57,2.65,3.18,2.25,0.27,3.69,2.23,1.29,1.6,2.01,2.94,2.24,7.08,0.99,3.22,2.92,4.34,1.91,3.7,1.66,0.7,1.2,2.78,2.82,3.78,1.06,2.85,4.96,2.4,2.7,0.27,4.1,2.05,1.21,1.59,1.28,2.65,1.05,2.87,3.02,2.11,1.96,3.02,3.66,2,3.62,0.56,1.89,2.52,0.14,1.67,4.29,2.64,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,2.08,4.22,2.39,3.99,0.95,1.36,1.94,0.99,0.33,1.64,4.12,2.45,2.94,1.19,2.4,3.48,3.2,0.09,3.32,2.91,1.82,2.14,2.02,1.22,2.33,2.58,1.64,3.55,3.59,2.29,1.59,0.69,2.62,2.34,0.89,1.47,5.07,5.62,3.1,0.96,1.04,2.57,1.88,3.89,6.12,1.86,1.54,1.64,1.32,3.31,2.25,1.23,3.53,1.42,6.53,2.83,1.33,2.87,4.32,2.89,4.26,3.97,2.54,2.87,4.18,2.7,2.43,5.83,1.25,2.88,4.13,1.73,1.33,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,3.73,0.83,4.29,2.32,2.72,1.06,2.7,0.68,1.62,2.42,2.59,1.04,2.82,1.85,3.31,5.65,1.78,4.23,2.87,3.13,0.81,3.96,5.58,1.85,3.98,1.13,2.35,0.91,2.39,4.3,1.33,0.8,3.77,0.28,1.94,0.56,3.27,0,2.9,3.71,2.53,2.03,0.61,3.14,1.63,1.98,1.57,5.42,3.11,1.39,1.26,2.58,0.63,2.55,0.7,1.86,2.54,4.27,4.22,2.32,2.88,0.38,1.67,0.93,2.77,2.21,4.67,4.15,3.8,2.4,4.19,2.11,6.35,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,8.16,2.82,4.08,3.37,3.34,4.96,5.49,4.15,1.47,1.74,0.47,1,1.03,2.16,2.27,2.32,2.88,0.58,1.42,3.22,3.42,3.2,3.16,0.24,3.68,0.72,4.3,4.65,0.89,2.57,6.4,2.44,6.04,0.62,4.42,1.53,4.24,4.58,4.7,5.22,3.89,1.24,2.81,4.78,4.35,1.74,2.62,0.82,6.7,5.04,3.71,4.52,4.91,1.36,3.65,2.52,2.5,1.64,1.32,2.24,1.95,1.2,6.57,1.65,0.95,3.5,3.82,0.37,3.07,5.29,4.49,2.57,8.33,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.44,4.74,3.86,7.62,5.24,1.75,2.93,3.73,2.4,5.57,2.55,1.6,3.95,1.88,3.66,5.57,3.31,3.93,2.21,2.96,5.49,2.64,7.45,2.58,7.73,1.25,2.37,3.3,5.74,9.24,2.41,3.31,1.55,2.05,4.34,4.45,4.26,3.98,2.7,6.03,3.84,3.88,5.27,4.72,1.22,1.89,3.73,1.53,0.54,0.95,4.1,2.85,0.22,5.9,3.91,4.75,2.66,2.7,4.65,1.03,4.73,2.16,5.05,5.89,5.33,3.63,3.28,1.14,4.7,6.14,6.07,1.75,6.36,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.26,1.21,1.86,2.37,3.6,2.59,2.83,1.17,7.96,4.32,1.53,5.07,1.08,2.04,1.92,3.16,1.56,1.93,1.04,0.88,2.67,2.96,0.29,1.35,0.74,3.33,1.68,1.89,2.27,3.41,8.95,1.66,1.07,1.26,3.02,3.66,3.57,3.76,1.5,6.72,1.7,0.49,4.91,1.59,5.25,2.56,2.75,6.6,3.64,2.27,3.1,1.07,1.7,0.56,2.09,2.36,3.33,2.82,5.03,1.95,3.1,1.75,5.56,2.66,3.91,3.56,6.37,3.49,5.61,6.02,7.33,0.33,5.64,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,1.35,3.43,1.58,9.31,3.66,5.08,3.65,4.97,3.71,1.8,5.51,4.06,4.29,2.25,2.28,8.86,1.27,2.12,6.06,5.69,2.3,6,6.97,3.53,5.49,3.29,2.75,4.49,6.72,6.54,1.91,2.4,3.04,1.19,1.67,5.4,6.28,4.49,4.9,2.95,6.48,6.24,3.68,0.99,7.27,2.54,2.8,6.18,1.98,3.67,8.11,3.58,4.79,2.03,4.51,3.13,5.95,4.38,1.07,0.55,4.61,7.02,1.82,1.1,5.14,2.57,4.38,2.22,2.69,4.97,3.85,3.95,9.82,,,,,,,,,,,,,,,,,,,,
