"ALTRINCHAM, NORMAN'S PLACE NEW GAUGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ765877,Long,-2.35478,Lat,53.385615,Elevation,150,Ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2738/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,1.71,4.28,4.52,3.3,1.69,2.09,1.79,3.87,2.87,3.86,4.73,2.47,1.63,3.5,4.31,4.25,2.35,3.54,2.22,7.02,2.35,1.16,2.72,3.43,1.35,2.97,2.49,4.49,1.69,3.11,2.44,4.43,,
February,,,,,,,,,,1.02,0.17,3.13,0.11,2.76,0.3,2.72,1.95,4.41,1.01,2.94,1.89,3.01,1.58,2.32,1.33,2.89,5.16,0.79,1.9,1.56,4.15,2.2,1.05,1.1,3.08,1.87,0.61,2.02,4.27,0.36,2.08,,
March,,,,,,,,,,0.71,2.57,0.13,2.01,2.5,2.1,0.93,1.23,1.34,0.94,1.7,2.77,2.42,2.3,0.93,0.47,0.95,0.72,5.13,1.08,1.94,1.47,4.2,2.02,1.77,2.21,1.89,1.07,2.7,1.36,1.3,0.96,,
April,,,,,,,,,,0.66,1.66,2.89,3.11,1.02,1.84,2.41,1.3,2.8,0.28,2.17,1.69,1.36,1.53,1.2,2.22,2.01,1.04,2.36,1.49,2.84,3.51,1.93,3.92,2.78,0.61,1.95,3.47,0.33,0.77,3.16,1.37,,
May,,,,,,,,,,1.94,1.2,2.9,4.86,2.07,2.1,0.81,0.86,2.17,3.71,1.12,1.61,1.87,3.68,2.04,3.07,3.96,1.24,2.14,1.28,3.26,1.53,2.58,2.01,1.98,2.22,2.75,1.07,1.19,2.76,1.01,1.96,,
June,,,,,,,,,,1.16,1.09,5.26,0.56,3.26,2.09,3.65,3.3,1.36,2.95,2.99,1.14,0.41,0.4,2.79,2.28,2.74,3.2,2.61,4.31,0.89,2.45,1.01,2.36,2.16,2.72,3.01,2.52,1.43,4.51,2.33,1.73,,
July,,,,,,,,,,2.68,5.97,3.61,3,1.64,1.94,1.03,3,2.11,4.6,6.05,3.76,2.91,3.18,2.01,3.49,1.9,3.57,2,2.34,1.66,3.37,3.05,2.07,3.44,3.82,0.73,5.11,5.13,4.32,3.28,4.64,,
August,,,,,,,,,,4.21,4.8,8.22,1.86,1.65,2.46,1.23,1.75,2.08,2.65,1.85,1.09,4.9,4.17,5,3.46,2.81,4.23,0.34,4.64,2.43,4.28,4.05,1.59,3.92,4.49,0.87,8.65,3.67,3.86,0.48,6.95,,
September,,,,,,,,,,1.81,3.12,2.67,2.73,1.22,2.57,5,4.15,0.97,2.24,0.73,3.17,0.5,2.09,3.6,3.44,1.4,5.02,2.27,2.23,0.78,4.77,2.68,3.09,2.98,3.96,1.93,2.14,5.21,3.82,0.26,3.16,,
October,,,,,,,,,,4.57,4.24,1.64,6.57,4.45,4.29,4.77,3.07,1.56,5.42,2.05,3.6,3.79,4.47,2.98,3.67,5.35,0.95,0.56,2.25,3.14,2.19,0.88,3.12,2,5.75,1.97,2.08,3.29,2.82,3.22,3.56,,
November,,,,,,,,,,6.43,4.28,5.21,2.62,0.91,1.51,4.53,3.09,1.9,3.99,5.14,6.32,2.53,0.62,2.48,5.83,0.54,4.42,3.22,2.07,4.67,4.2,6.99,2.01,2.98,5.46,1.73,1.11,1.48,1.17,3.32,4.56,,
December,,,,,,,,,,5.5,3.49,1.37,1.08,0.31,4.84,3.23,2.95,2.38,3.78,2.45,2.84,1.25,3.69,1.57,2.35,2.2,3.44,2.58,2.87,4.54,3.01,4.75,3.12,1.24,4.41,3.57,2.75,2.81,3.53,4.59,3.27,,
Total,,,,,,,,,,32.4,36.87,41.55,31.81,23.48,28.13,32.1,30.52,25.95,35.43,33.92,32.35,26.58,31.21,31.23,35.86,29.1,36.53,26.22,33.48,30.06,36.09,37.04,29.79,27.7,41.7,24.76,35.07,30.95,36.3,25.75,38.67,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
