"ALTRINCHAM (NORMAN'S PLACE)",,,,,,,,,,,,
Grid ref,SJ764877,Long,-2.356283,Lat,53.385611,,,,,,,
Station no,2738/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.72,3.43,1.35,2.97,2.49,4.49,1.69,3.11,2.44,4.43,,
February,2.20,1.05,1.10,3.08,1.87,0.61,2.02,4.27,0.36,2.08,,
March,4.20,2.02,1.77,2.21,1.89,1.07,2.70,1.36,1.30,0.96,,
April,1.93,3.92,2.78,0.61,1.95,3.47,0.33,0.77,3.16,1.37,,
May,2.58,2.01,1.98,2.22,2.75,1.07,1.19,2.76,1.01,1.96,,
June,1.01,2.36,2.16,2.72,3.01,2.52,1.43,4.51,2.33,1.73,,
July,3.05,2.07,3.44,3.82,0.73,5.11,5.13,4.32,3.28,4.64,,
August,4.05,1.59,3.92,4.49,0.87,8.65,3.67,3.86,0.48,6.95,,
September,2.68,3.09,2.98,3.96,1.93,2.14,5.21,3.82,0.26,3.16,,
October,0.88,3.12,2.00,5.75,1.97,2.08,3.29,2.82,3.22,3.56,,
November,6.99,2.01,2.98,5.46,1.73,1.11,1.48,1.17,3.32,4.56,,
December,4.75,3.12,1.24,4.41,3.57,2.75,2.81,3.53,4.59,3.27,,
Total,37.04,29.79,27.70,41.70,24.76,35.07,30.95,36.30,25.75,38.67,,
Calc annual,37.04,29.79,27.70,41.70,24.76,35.07,30.95,36.30,25.75,38.67,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
