CULVERTHORPE PARK FARM,,,,,,,,,
Grid ref,TF019402,Long,-0.485,Lat,52.950,Elevation,200,ft,
Station no,2536,,,,,,,,
,,,,,,,,,
,1926,1927,1928,1929,1930,1931,1932,1933,1934
January,,1.90,2.92,1.17,2.80,1.59,0.82,,1.69
February,,1.57,1.30,0.55,0.63,2.51,0.59,2.97,0.37
March,,1.66,1.49,0.19,1.94,0.39,1.70,,2.42
April,,1.91,0.56,1.01,3.97,2.72,2.29,0.70,2.03
May,,1.16,1.52,0.95,2.89,4.13,4.79,1.13,0.52
June,,2.44,2.26,1.21,0.44,2.83,0.47,2.37,1.22
July,,2.58,1.02,1.37,3.26,4.39,8.47,,2.84
August,,2.86,2.15,0.78,2.10,3.78,1.63,0.54,1.68
September,,3.72,0.78,1.00,5.01,3.13,2.41,1.90,0.93
October,1.61,2.33,3.49,2.28,1.78,0.48,2.85,2.82,1.46
November,2.48,2.92,2.61,4.30,3.34,3.13,1.75,2.25,1.98
December,0.70,2.28,1.26,4.16,2.02,1.07,0.58,,3.76
Total,,27.33,21.36,18.97,30.18,30.15,28.35,,20.90
,,,,,,,,,
TYRain_1920-1930_17_pt1/031,,,,,,,,,
TYRain_1931-1940_15_pt1/099,,,,,,,,,
,,,,,,,,,
"# The readings for January, March, July and December 1933 are estimates and have been omitted.",,,,,,,,,
#,,,,,,,,,
# The gauge moved 320 yards east in October 1928.,,,,,,,,,
