ST BEES (RICKERBY HOUSE)/FERN BANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX975120,Long,-3.5839862,Lat,54.492939,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,4.76,3.46,3.57,4.89,3.3,4.32,4.64,9.74,2.24,6.25,4.23,4.67,3.5,5.29,1.68,4.41,4.37,4.23,4.66,3.46,0.76,,,,,,3.48,7.7,2.77,
February,,0.32,4.23,6.08,0.53,4.64,5.29,2.6,3.62,1.49,0.44,2.99,0.02,3.68,0.26,3.75,2.49,4.95,1.55,3.62,1.44,3.99,,,,,,0.69,2.44,2.35,
March,,4.71,2.11,1.65,1.37,1.36,1.83,4.05,4.04,1.05,2.92,0.99,3.53,3.11,1.93,1,2.74,1.66,1.86,2.91,4.88,2.51,,,,,,6.65,2.89,2.31,
April,,1.86,2.58,3.65,2.36,3.89,2.5,1.79,1.33,1.64,2.23,1.62,3.21,2.13,2.77,2.57,0.62,3.68,0.37,2.17,1.91,2.08,,,,,,5.06,2.1,3.58,
May,,2.61,3.9,1.95,5.62,6.71,2.42,2.15,1.16,2.72,1.58,2.58,3.52,2.72,3.93,0.88,1.16,1.49,4.06,0.35,1.57,3.61,,,,,1.57,4.4,1.62,2.19,
June,,0.25,2.48,1.27,3.49,0.44,2.11,3.47,4.42,2.11,2.03,5.9,1.8,2.17,2.25,4.53,4.19,2.12,5.08,3.34,1.06,0.75,,,,,3.33,3.58,5.43,0.65,
July,4.51,2.86,5.82,4.52,5.36,1.87,4.45,5.02,5.5,4.89,2.24,5.14,4.32,3.04,1.12,2.03,3.54,5.64,6.33,5.41,3.98,2.78,,,,,5.49,4.01,2.66,4.44,
August,3.92,6.59,4.65,8.66,3.9,4.75,5.2,4.76,7.95,6.14,7.63,4.4,2.6,2.45,3.9,2.33,3.72,3.56,2.41,2.23,1.33,4.57,,,,,4.85,0.15,4.74,3.01,
September,2.95,1.87,2.29,6.01,6.79,3.46,4.73,7.12,3.24,1.43,2.03,3,4.45,1.8,5.04,6.56,5.23,3.73,3.64,2.13,3.19,2.25,,,,,5.89,2.98,6.51,2.12,
October,2.1,2.82,2.5,7.84,2.99,6.13,3.63,3.54,7.81,6.57,6.72,2.36,7.5,3.37,6.48,6.03,3.37,4.31,9.23,1.84,4.75,6.07,,,,,0.46,0.75,4.48,6.18,
November,3.15,2.44,2.1,4.92,4.43,2.32,7.11,4.35,7.81,8.32,4.09,8.63,2.43,2.5,1.64,4.54,4.46,1.23,7.23,5.24,5.21,2.64,,,,,6.8,5.45,4.31,5.45,
December,2.65,3.88,5.68,5.76,8.73,3.24,1.5,1.45,3.82,7.21,3.72,5.53,6.27,1.35,7.04,2.67,6.01,3.95,4.43,2.33,5.15,1.68,,,,,5.88,1.88,5.35,6.06,
Total,,34.97,41.8,55.88,50.46,42.11,45.09,44.94,60.44,45.81,41.88,47.37,44.32,31.82,41.65,38.57,41.94,40.69,50.42,36.23,37.93,33.69,,,,,,39.08,50.23,41.11,
