BISHOPS-STORTFORD-BARRELLS-DOWN-ROAD (HADHAM ROAD),,,,,,,,,,,,,,,,,,,,
Grid ref,TL479217,Long,0.14702551,Lat,51.874265,Elevation,240,ft,,,,,,,,,,,,
Station no,RR7505,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,0.66,-999,1.59,,,,,,,,
February,,,,,,,,,,0.73,-999,1.15,,,,,,,,
March,,,,,,,,,,2.95,0.87,1.93,,,,,,,,
April,,,,,,,,,,2.1,2.01,0.68,,,,,,,,
May,,,,,,,,,,1.71,3.03,1.7,,,,,,,,
June,,,,,,,,,,3.54,2.01,2.45,,,,,,,,
July,,,,,,,,,,3.17,1.74,1.01,,,,,,,,
August,,,,,,,,,,2.03,3.02,0.42,,,,,,,,
September,,,,,,,,,,1.97,0.97,1.71,,,,,,,,
October,,,,,,,,,,3.81,1.3,,,,,,,,,
November,,,,,,,,,,0.82,3.84,,,,,,,,,
December,,,,,,,,,,3.32,4.05,,,,,,,,,
Total,,,,,,,,,,26.81,26.69,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1910 Jan Feb -999 (3.85),,,,,,,,,,,,,,,,,,,,
1911 Oct Gauge moved,,,,,,,,,,,,,,,,,,,,
