"HAZELBOROUGH WOODS",,,,,,,,,,,,
Grid ref,SP654427,Long,-1.047103,Lat,52.078806,,,,,,,
Station no,1094,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.42,1.57,1.14,0.97,2.57,4.80,1.67,3.29,4.13,3.48,,
February,3.15,0.55,1.68,2.30,1.77,0.69,3.38,3.11,0.14,2.33,,
March,3.73,2.82,0.72,3.15,1.85,0.93,2.24,1.87,2.95,1.08,,
April,2.81,,1.85,0.31,0.77,1.05,0.53,0.86,2.50,0.70,,
May,3.91,,1.39,2.76,4.43,0.45,1.54,2.10,0.62,1.59,,
June,1.02,1.45,1.76,2.58,2.56,2.82,1.30,4.25,0.83,3.04,,
July,0.96,0.37,3.80,2.89,0.15,4.82,4.69,2.03,3.13,3.62,,
August,4.84,3.40,2.71,3.65,0.11,3.46,4.07,3.16,0.89,4.88,,
September,2.03,1.90,1.71,2.72,2.10,2.48,5.20,2.12,0.02,4.11,,
October,0.76,3.56,2.90,3.07,1.62,1.57,1.94,2.78,1.93,5.46,,
November,5.62,3.21,1.57,5.87,1.77,0.71,1.99,2.17,1.83,3.24,,
December,1.21,3.30,0.84,2.19,2.15,2.99,2.22,2.62,4.27,2.87,,
Total,33.46,,22.07,32.46,21.85,26.77,30.77,30.36,23.24,36.40,,
Calc annual,33.46,22.13,22.07,32.46,21.85,26.77,30.77,30.36,23.24,36.40,,
Difference,-0.00,NaN,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
