WIGAN BEECH HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SD570074,Long,-2.6506446,Lat,53.561445,Elevation,179,ft,,,,,,,,,,,,
Station no,RR6974,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,4.78,1.56,5.41,3.03,1.42,0.59,0.83,,,,,,,,
February,,,,,,0.94,3.45,4.34,1.55,3.05,1.96,5.31,,,,,,,,
March,,,,,,0.67,2.68,4.13,1.42,1.26,2.35,3.56,,,,,,,,
April,,,,,,0.76,2.33,2.08,1.47,2.27,1.23,1.36,,,,,,,,
May,,,,,,1.81,0.61,2.85,3.48,1.71,2.54,,,,,,,,,
June,,,,,,3.27,2.96,2.01,3.06,4.76,2.97,,,,,,,,,
July,,,,,,5.57,2.93,6.24,1.47,4.27,5.25,,,,,,,,,
August,,,,,,2.55,2.95,5.15,5.95,5.64,1.53,5.12,,,,,,,,
September,,,,,4.03,4.47,5.27,2.81,5.38,2.79,3.82,2.29,,,,,,,,
October,,,,,5.51,4.91,2.81,5.32,4.02,2.04,3.03,3.24,,,,,,,,
November,,,,,4.62,4.04,4.73,6.33,1.97,1.04,3.85,3.31,,,,,,,,
December,,,,,2.64,1.39,5.15,3.69,2.37,2.2,5.68,4.83,,,,,,,,
Total,,,,,,35.16,37.43,50.36,35.17,32.45,34.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Observer, S A Oliver, lived in Wellfield Cottage, Beech Hill",,,,,,,,,,,,,,,,,,,,
