"OUNDLE (NENE WHARF)",,,,,,,,,,,,
Grid ref,TL043888,Long,-0.465409,Lat,52.487157,,,,,,,
Station no,1136/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.28,1.38,0.77,0.58,1.90,3.47,1.08,2.49,2.91,3.19,,
February,2.87,0.45,1.56,1.80,1.97,0.53,1.93,3.12,0.11,1.68,,
March,3.26,2.36,0.70,2.36,1.95,0.89,1.76,1.49,2.03,1.82,,
April,2.59,1.43,1.83,0.37,0.68,0.83,0.22,0.61,1.56,0.37,,
May,3.26,2.08,1.92,2.80,2.66,0.74,1.72,2.32,0.55,1.15,,
June,1.75,0.96,1.64,2.13,2.75,2.02,2.15,5.82,0.49,3.22,,
July,0.79,0.38,1.72,2.06,0.29,3.34,1.91,2.11,2.34,2.94,,
August,3.49,4.06,2.36,4.74,0.86,4.44,2.79,1.95,0.65,2.95,,
September,1.58,1.61,0.76,2.21,1.16,1.67,4.60,1.97,0.02,3.54,,
October,1.04,2.45,1.85,2.23,2.62,1.73,1.00,1.98,1.16,4.81,,
November,4.71,2.60,1.49,4.49,1.16,0.59,1.74,1.32,1.82,3.11,,
December,1.89,1.70,0.57,2.59,1.39,2.04,2.14,2.15,3.81,2.77,,
Total,29.51,21.46,17.17,28.36,19.39,22.29,23.04,27.33,17.45,31.55,,
Calc annual,29.51,21.46,17.17,28.36,19.39,22.29,23.04,27.33,17.45,31.55,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
