OUNDLE-NENE-WHARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL043888,Long,-0.465409,Lat,52.487157,Elevation,65,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1136/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.32,1.12,0.78,3.7,2.99,2.3,4.28,2.21,3.66,2.48,3.53,1.97,2.07,1.66,1.87,3.77,0.79,0.9,2.28,1.38,0.77,0.58,1.9,3.47,1.08,2.49,2.91,3.19
February,,,1.92,0.46,2.04,,3,0.7,0.55,2.5,2.05,1.07,0.72,1.47,1.45,1.7,1.82,0.76,0.75,2.92,2.87,0.45,1.56,1.8,1.97,0.53,1.93,3.12,0.11,1.68
March,,,2.3,1.4,0.37,,3.5,0.15,1.66,1.98,3.76,1.65,0.83,0.1,0.6,0.86,5.54,0.54,1.12,0.71,3.26,2.36,0.7,2.36,1.95,0.89,1.76,1.49,2.03,1.82
April,,,0.81,2.1,3.57,,2.18,0.05,2.46,1.73,1.26,0.74,0.92,2.08,0.66,1.46,1.85,1.33,1.62,1.94,2.59,1.43,1.83,0.37,0.68,0.83,0.22,0.61,1.56,0.37
May,,,1.92,0.64,0.95,,3.18,2.37,0.66,1.84,2.03,2.89,1.89,0.85,1.63,2.18,0.94,3.06,3.49,2.64,3.26,2.08,1.92,2.8,2.66,0.74,1.72,2.32,0.55,1.15
June,,,3.34,0.92,3.37,,1.23,1.93,1.9,0.73,1.22,0.74,2.28,3,1.82,2.39,1.91,2.51,1.37,1.34,1.75,0.96,1.64,2.13,2.75,2.02,2.15,5.82,0.49,3.22
July,,,1.7,2.84,0.49,5.14,1.72,1.57,2.32,2.8,4.24,2.91,0.86,1.37,1.47,1.42,2.52,1.57,1.62,3.26,0.79,0.38,1.72,2.06,0.29,3.34,1.91,2.11,2.34,2.94
August,,,0.6,1.37,2.39,0.56,1.37,2.43,5.38,0.07,3.72,1.15,2.76,2.89,3.04,3.29,0.07,3.13,1.36,1.5,3.49,4.06,2.36,4.74,0.86,4.44,2.79,1.95,0.65,2.95
September,,,2.86,1.64,3.34,1.79,1.19,1.9,1.29,0.43,0.46,0.8,1.46,2.4,1.86,2.64,0.93,2.1,0.78,2.77,1.58,1.61,0.76,2.21,1.16,1.67,4.6,1.97,0.02,3.54
October,,,1.63,0.98,2.9,,2.18,2.11,3.58,2.21,1.9,2.17,1.41,2.62,2.43,1.36,0.16,3.01,3.7,0.53,1.04,2.45,1.85,2.23,2.62,1.73,1,1.98,1.16,4.81
November,,,2.01,1.68,3.4,,1.74,1.99,3.25,5.76,2.85,2.3,1.27,2.69,0.38,3.77,1.05,1.41,2.05,3.85,4.71,2.6,1.49,4.49,1.16,0.59,1.74,1.32,1.82,3.11
December,,,0.43,3.78,2.93,1.6,2.64,3.74,2.31,1.37,0.67,1.8,0.91,0.99,2.26,2.28,1.91,2.05,1.26,1.24,1.89,1.7,0.57,2.59,1.39,2.04,2.14,2.15,3.81,2.77
Total,,,20.84,18.93,26.53,,26.92,21.24,29.64,23.63,27.82,20.7,18.84,22.43,19.67,25.01,20.57,25.24,19.91,23.6,29.51,21.46,17.17,28.36,19.39,22.29,23.04,27.33,17.45,31.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1936 Feb-Jun, Oct Nov estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
