TODMORDEN STANSFIELD HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD941247,Long,-2.0904,Lat,53.7189,Elevation,582,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,2.19,2.83,4.54,3.35,2.4,3.3,4.13,1.51,7.84,,6.11,6.94,2.54,8.96,5.65,1.85,2.15,0.68,5.86,9.51,6.08,,,,,
February,,,,,1.28,2.4,3.48,2.45,3.39,4.04,1.85,5.7,5.17,,2.67,1.51,7.16,6.28,2.35,4.49,4.43,7.62,3.81,3.91,5.06,,,,,
March,,,,,4.31,1.34,1.7,1.69,3.28,1.97,2.83,2.17,4.12,,5.73,1.19,5.95,4.69,3.08,3,3.35,7.29,5.03,1.73,3.1,,,,,
April,,,,,0.98,1.62,1.21,5.1,1.45,2.27,1.26,4.28,4.43,,2.92,2,3.57,3.59,2.31,2.64,3.8,1.62,6.72,2.58,2.31,,,,,
May,,,,,2.46,3.15,1.16,2.31,1.12,5.14,1.59,1.63,2.74,,1.92,2.45,0.94,4.45,5.85,2.14,2.82,4.12,3.06,1.46,2.57,,,,,
June,,,,,2.58,0.56,5.46,1.93,0.52,1.12,2.38,3.62,6.28,,2.02,4.68,4.23,3.11,3.13,6.02,3.97,2.48,6.7,4.83,1.26,,,,,
July,,,,,0.92,2.61,3.65,3.07,0.33,0.89,0.9,5.28,3.83,,2.95,6.88,2.6,6.16,1.12,7.62,5.71,4.13,6.54,3.85,4.8,,,,,
August,,,,,3.57,4.95,5.86,1.87,4.39,2.64,2.5,1.78,4.65,,6.79,3.36,5.07,5.58,7.92,8.09,2.73,7.46,4.13,3.27,1.4,,,,,
September,,,,,3.31,0.32,7.25,2.74,3.03,6.3,2.53,4.54,7.72,,4.59,5.7,5.68,5.47,5.95,3.82,5.87,2.79,2.61,8.15,3.29,,,,,
October,,,,,3.45,6.56,2.91,3.14,4.99,3.02,11.02,5.58,6.5,,7.48,6.48,3.71,8.08,6.42,3.32,5.34,4.69,5.67,6.44,3.56,,,,,
November,,,,,5.86,3.3,4.81,1,2.77,3.6,4.03,7.49,7.34,,5.49,7,4.73,7.23,4.13,2.04,6.33,6.91,9.17,5.29,1.6,,,,,
December,,,,,1.15,1.85,4.47,3.6,11.79,5.24,3.96,3.04,4.62,,4.14,2.84,10.09,6.86,3.06,2.19,7.81,7.59,6.82,4.73,7.03,,,,,
Total,,,,,32.06,31.49,46.5,32.25,39.46,39.53,38.98,46.62,65.24,,52.81,51.03,56.27,70.46,50.97,47.22,54.31,57.38,66.12,55.75,42.06,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871 Feb and total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
