KIRKBY LONSDALE WHELPRIGG,,,,,,,,,,,,,,,,,,,,
Grid ref,SD633813,Long,-2.563,Lat,54.226,Elevation,460,ft,,,,,,,,,,,,
Station no,RR2141,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884
January,,5.5,5.9,3.99,5.39,4.88,2,8.02,7.27,6.23,6.75,3.09,7.76,4.43,1.99,0.43,0.61,3.72,6.79,6.8
February,,5.76,4.16,4.07,7.53,2.08,4.71,5.13,0.57,2.44,1.18,6.85,4.09,2.47,3.08,3.97,5.25,3.51,3.13,2.04
March,1.4,2.86,2.03,5.76,1.34,2.48,2.06,5.4,3.67,4.32,1.49,3.87,3.71,1.91,3.82,3.1,4.6,4.97,1.19,3.48
April,1.99,1.39,5.47,2.81,3.69,2.11,3.5,2.91,0.56,2.1,1.53,3.24,3.29,2.97,1.04,1.83,1.58,4.68,2.35,1.28
May,3.85,2.52,3.14,1.65,2.84,3.42,1.81,2.81,2.45,2.39,3.52,0.8,2.32,4.68,1.96,2.37,4.81,2.43,1.82,3.61
June,0.54,5.23,2.58,0.67,1.81,1.49,3.15,6.37,2.46,0.86,4.66,3.7,2.87,4.79,7.35,4.45,4.81,5.8,4.69,0.51
July,2.33,4.9,3.45,0.85,1.49,1.84,7.64,4.15,6.14,3.12,3.15,4.28,5.65,1.04,7.02,7.57,7.23,7.84,3.29,4.33
August,7.15,5.37,4.66,5.1,2.17,1.87,3.4,5.64,5.42,6.66,4.49,3.81,7.64,8.03,5.61,2.27,6.96,4.13,3.98,1.52
September,1.72,10.77,4.8,1.85,9.37,2.95,3.67,8.9,3.25,5.05,4.93,5.74,4.13,5.64,3.94,3.62,3.04,2.97,4.39,4.32
October,5.84,3.18,4.63,6.36,3.46,8.7,6.27,7.06,7.94,7.38,3.69,2.98,6.59,4.48,2.6,2.01,3.18,3.64,6,3.4
November,4.05,7.16,1.84,2.41,5.33,2.98,1.73,6.12,2.83,5.43,6.66,3.49,8.05,3.04,1.72,6.15,5.8,6.43,4.88,1.81
December,2.2,7.24,3.51,9.36,5.6,3.28,5.19,5.76,2.42,4.06,3.04,6.9,4.47,2.13,2.56,7.36,6.24,4.36,3.82,6.32
Total,,61.88,46.17,44.88,50.02,38.08,45.13,68.27,44.98,50.04,45.09,48.75,60.57,45.61,42.69,45.13,54.11,54.48,46.33,39.42
