WISTOW-RECTORY,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL279810,Long,-0.12102311,Lat,52.412057,Elevation,40,ft,,,,,,,,,,,,,
Station no,1156,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,1.62,0.62,1.2,1.16,,,,,,
February,,,,,,,,,,,0.71,2.5,0.34,1.46,0.57,,,,,,
March,,,,,,,,,,,1.52,0.09,1.53,2.18,1.6,,,,,,
April,,,,,,,,,,,2,2.86,2.68,1.01,2.05,,,,,,
May,,,,,,,,,,,2.96,2.13,4.45,2.23,0.6,,,,,,
June,,,,,,,,,,,0.48,1.24,1.13,2.48,1.3,,,,,,
July,,,,,,,,,,,4.19,3.76,2.88,0.88,2,,,,,,
August,,,,,,,,,,,2.26,3.57,2.92,0.95,2.05,,,,,,
September,,,,,,,,,,,3.81,3.3,2.05,2.24,2.4,,,,,,
October,,,,,,,,,,,0.91,0.53,3.36,1.62,,,,,,,
November,,,,,,,,,,,3.87,2.76,1.04,1.61,,,,,,,
December,,,,,,,,,,,1.9,0.82,0.43,0.53,,,,,,,
Total,,,,,,,,,,,,25.18,23.43,18.39,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1930 Jan estimated,,,,,,,,,,,,,,,,,,,,,
1932 Dec IDR,,,,,,,,,,,,,,,,,,,,,
