PENISTONE (SCOUT DIKE RESERVOIR),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3168,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,3.33,2.04,6.21,1.88,4.71,
February,,,,,,,2.65,1.20,3.53,0.43,1.10,
March,,,,,,,0.88,3.11,2.81,0.21,3.81,
April,,,,,,,2.17,3.81,1.37,1.49,3.81,
May,,,,,,,2.94,1.51,3.33,1.41,1.81,
June,,,,,,,3.22,3.57,3.41,1.28,2.66,
July,,,,,,,4.04,2.91,0.95,2.57,7.21,
August,,,,,,,3.23,5.07,3.00,2.47,3.57,
September,,,,,,,1.81,5.20,0.47,0.99,5.54,
October,,,,,,,3.46,3.40,5.11,3.37,3.81,
November,,,,,,,4.46,5.09,4.89,6.29,3.66,
December,,,,,,,1.35,2.76,2.64,7.19,3.07,
Total,,,,,,,33.54,39.67,37.72,29.58,44.76,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,33.54,39.67,37.72,29.58,44.76,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,
