WRAXALL-COURT-(NEW-GAUGE),,,,,,,,,,
Grid ref,ST489721,Long,-2.73575,Lat,51.44602,Elevation,200,ft,,
Station no,2049,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.48,3.29,3.09,3.3,3.56
February,,,,,,0.32,3.15,4.07,0.39,2.37
March,,,,,,0.73,2.97,1.23,2.56,3.14
April,,,,,,2.61,0.21,1.06,2.74,1.46
May,,,,,,0.64,1.44,3.05,2.63,1.18
June,,,,,,2.9,1.57,3.78,1.27,2.15
July,,,,,,3.99,3.87,1.81,3.12,5.57
August,,,,,,5.63,2.83,3.85,1.72,4.35
September,,,,,,3.49,3.91,6.39,0.17,4.96
October,,,,,,1.44,3.99,3.13,4.43,7.09
November,,,,,,1.3,2.93,2.51,4.02,4.72
December,,,,,,3.92,2.31,3.51,7.01,4.66
Total,,,,,,30.45,32.47,37.48,33.36,45.21
,,,,,,,,,,
,,,,,,,,,,
SRC_ID 9405,,,,,,,,,,
Station still in use 2021,,,,,,,,,,
"MIDAS has this as Avon, not Somerset",,,,,,,,,,
 ,,,,,,,,,,
