COCKERMOUTH,,,,,,,,,,,,,,,,,,,,
Grid ref,NY122307,Long,-3.361833,Lat,54.66386,Elevation,164,ft,,,,,,,,,,,,
Station no,RR6259,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,2.57,3.25,8.24,3.93,4.97,5.3,4.27,3.85,6.78,,,,,,,
February,,,,,2.05,3.13,4.16,3.09,5.97,6.42,3.44,3.4,3.25,,,,,,,
March,,,,,3.63,2.36,2.31,1.44,6.57,0.77,2.27,2.97,3.41,,,,,,,
April,,,,,2.19,0.49,0.95,4.41,2.98,2.61,1.99,2.27,1.5,,,,,,,
May,,,,,2.33,5.82,1.85,1.51,3.1,1.9,3.8,0.88,2.84,,,,,,,
June,,,,,3,0.69,2.33,1.5,1.22,1.52,1.83,1.69,4.5,,,,,,,
July,,,,,1.54,2.8,4.3,3.29,0.77,1.76,0.98,2.78,3.79,,,,,,,
August,,,,,2.81,3.32,3.2,3.54,4.05,1.71,2.64,3.14,3.62,,,,,,,
September,,,,,5.18,1.78,6.53,4.81,1.88,7.22,4.03,2.01,6.6,,,,,,,
October,,,,,2.91,3.44,2.4,4.07,5.69,3.83,9.09,3.54,7.49,,,,,,,
November,,,,,4.34,3.79,6.58,0.98,2.85,5.91,3.35,2.55,4.93,,,,,,,
December,,,,,5.63,4.5,5.34,3.72,7.97,5.53,1.83,6.01,4.88,,,,,,,
Total,,,,,38.18,35.37,48.19,36.29,48.02,44.48,39.52,35.09,53.59,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1860-1869_06_pt1-page-047.csv,,,,,,,,,,,,,,,,,,,,
1865 arithmetic incorrect on record,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_09_pt3-page-064.csv,,,,,,,,,,,,,,,,,,,,
