COCKERMOUTH,,,,,,,,,,,,,,,,,,,,
Grid ref,NY120306,Long,-3.364508,Lat,54.663416,Elevation,157,ft,,,,,,,,,,,,
Station no,RR6259,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,4.93,7.48,2.67,3.48,8.56,4.3,5.15,5.35,4.41,3.98,7,,,,,,,
February,,,1.39,3.45,2.18,3.39,4.44,3.32,6.52,6.63,3.56,3.52,3.34,,,,,,,
March,,,3.07,1.38,3.72,2.57,2.44,1.53,6.92,0.85,2.35,2.94,3.57,,,,,,,
April,,,4.45,3.5,2.2,0.56,1,4.72,3.07,2.69,2.11,2.5,1.55,,,,,,,
May,,,3.6,3.69,2.44,6.32,1.96,1.59,3.22,2.05,4.02,0.97,2.92,,,,,,,
June,,,4.2,5.13,3.24,0.7,2.48,1.6,1.28,1.66,1.97,1.75,4.59,,,,,,,
July,,,3.03,1.48,1.66,2.8,4.51,3.37,0.8,1.81,1.05,2.92,4.04,,,,,,,
August,,,4.23,3.94,3.02,3.51,3.45,3.67,4.11,1.8,2.85,3.31,3.88,,,,,,,
September,,,2.24,7.97,5.79,1.9,6.91,5.05,1.93,7.55,4.32,2.23,6.96,,,,,,,
October,,,10.38,6.09,3.22,3.41,2.55,4.31,5.99,3.97,9.56,3.81,7.76,,,,,,,
November,,,1.94,6.38,4.87,4.22,6.89,1.01,2.91,6.17,3.52,2.64,5.2,,,,,,,
December,,5.26,7.03,4.14,6.32,4.93,5.58,3.88,8.22,5.78,2,6.32,5.02,,,,,,,
Total,,,50.49,54.63,41.33,37.79,50.77,38.35,50.12,46.31,41.72,36.89,55.83,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_06_pt1-page-046.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_06_pt1-page-046.csv,,,,,,,,,,,,,,,,,,,,
