HUNGERFORD-DENFORD-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU361692,Long,-1.4822263,Lat,51.420669,Elevation,430,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,2.71,,1.68,6.22,1.68,3.35,0.61,1.12,1.66,3.58,3.02,2.89,4.23,3.01,0.87,1.02,3.26,2.05,1.21,1.96,2.48,3.65,0.91,2.29,0.63,
February,,,,,2.45,2.08,2.63,1.87,1.84,4.21,4.04,3.39,1.96,5.64,1.88,3.54,0.79,0.71,1.9,2.59,0.78,0.05,2,5.08,2.24,0.06,0.5,2.74,1.63,
March,,,,,1.3,1.54,4.6,2.59,1.15,0.72,2,2.15,1.27,0.91,2.15,1.59,1.66,2.03,3.81,2.47,1.34,2.2,0.84,0.34,1.87,2.34,3.65,4.47,0.77,
April,,,,,1.35,1.4,3.41,3.77,2.78,3.09,1.97,0.76,4.87,1.29,1.84,2.08,2.16,1.26,2.71,2.57,2,1.16,0.89,0.08,2.31,1.67,0.72,1.63,2.27,
May,,,,,3.48,2.42,1.01,1.71,3.33,3.61,0.27,1.3,2.5,1.87,0.83,2.02,4.59,1.67,1.69,3.1,1.93,2.55,1.66,1.26,2.18,0.62,0.33,1.08,3.23,
June,,,,,1.75,3.57,2.42,1.4,2.3,5.68,3.26,1.83,3.61,1.86,3.55,1.47,1.82,1.67,2.55,1.36,1.85,1.1,1.55,1.05,2.8,0.92,2.25,2.08,2.16,
July,,,,,0.77,5.28,0.28,3.35,1.64,3.5,4.66,1.72,2.96,4.2,2.26,0.39,3.13,1.2,4.87,2.75,4.05,3.39,3.04,3.91,3.43,4.05,0.96,1.18,0.54,
August,,,,,1.82,1.62,3.15,3.61,4.9,5.65,0.82,6.05,2.42,0.78,1.4,1.1,1.19,0.98,2.12,2.5,2.99,6.08,4.26,1.33,2.55,2.51,3.71,2.93,0.96,
September,,,,,2.79,,6.55,2.75,1.41,3.48,3.8,1.59,2.61,3.92,1.62,3.99,1.97,2.74,1.73,1.29,1.79,1.68,3.28,1.29,3.17,1.06,6.28,4.93,0.98,
October,,,,,4.24,6.55,2.4,2.01,3.52,0.83,5.37,1.73,7.29,2.27,1.13,4.38,4.06,1.92,1.53,2.64,1.07,8.27,4.2,3.59,3.72,3.81,3.99,0.48,4.51,
November,,,,,2.56,4.12,3.32,6.16,3.63,0.69,2.6,3.5,4.17,3,1.5,4.78,3.18,3.47,5.63,1.45,2.35,3.51,1.7,2.48,7.52,6.58,1.25,0.59,4.01,
December,,,,,,1.15,5.98,2.22,1.8,1.21,3.58,3.28,3.09,0.69,2.75,1.11,4.77,1.84,2.94,1.82,1.17,5.5,1.32,3.84,2.78,2.78,4.09,4.63,2.85,
Total,,,,,,,37.43,37.66,29.98,36.02,32.98,28.42,38.41,30.01,23.93,29.34,33.55,22.5,32.35,25.56,24.58,37.54,25.95,26.21,37.05,30.05,28.64,29.03,24.54,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Denford Park with the correct relationship to the church. Stated altitude is a little high or the gauge might be 100m further east.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
