NORTH BERWICK (EAST LODGE),,,,,,,,,,
Grid ref,NT555852,Long,-2.716139,Lat,56.05757,Elevation,51,ft,,
Station no,5108/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,0.83,0.58,3.33
February,,,,,,,,2.21,0.32,1.64
March,,,,,,,,2.61,0.38,0.96
April,,,,,,,,2.09,1.66,0.86
May,,,,,,,,1.96,0.56,1.09
June,,,,,,,,2.51,2.22,0.66
July,,,,,,,,5.25,2.36,2.24
August,,,,,,,,2.37,0.47,3.4
September,,,,,,,,2.39,0.59,1.84
October,,,,,,,1.12,0.86,1.46,3.51
November,,,,,,,1.11,1.04,3.75,2.66
December,,,,,,,2.12,3.98,3.17,2.13
Total,,,,,,,,28.1,17.52,24.32
