"SOUTH SHIELDS, NORTH MARINE PARK",,,,,,,,,,,,,,,,,,,,
Grid ref,NZ368678,Long,-1.4262152,Lat,55.003415,Elevation,30,ft,,,,,,,,,,,,
Station no,RR6323,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.44,2.41,1.36,0.24,2.11,0.44,1.01,0.62,1.82,1.04,2.22,4.12,1.64,,,,,
February,,,1.69,0.88,2.13,0.5,0.97,1.06,1.22,1.27,2.16,0.83,2.06,0.49,0.77,,,,,
March,,,0.82,1.03,0.92,1.35,0.87,0.64,2.25,4.27,0.62,1.37,1.75,2.23,2.13,,,,,
April,,,1.53,1.49,1.51,1.84,0.61,1.65,2.48,2.77,1.53,1.12,0.12,2.8,0.65,,,,,
May,,,2.82,1.97,2.51,0.49,5.1,4.3,1.76,1.76,2.26,1.12,2.38,3.05,1.22,,,,,
June,,,2.33,2.45,1.92,0.65,1.37,2.1,0.69,2.2,1.41,4.16,4.55,1.35,3.08,,,,,
July,,,2.35,4.83,0.98,1.35,0.5,1.44,2.57,2.27,1.67,0.58,3.67,0.51,,,,,,
August,,,1.97,1.72,2.63,2.1,3.39,2.56,1.2,2.76,2.19,2.33,4.18,0.73,,,,,,
September,,,0.63,2.55,0.69,1.41,0.37,0.64,1.52,1.57,0.69,2.19,1.69,3.73,,,,,,
October,,,2.1,6.73,0.86,3.51,4.32,3.59,1.18,2.61,2.72,2.1,3.67,1.62,,,,,,
November,,,1.39,1.74,2.61,3.66,2.22,1.49,1.2,0.87,2.74,2.8,1.55,1.43,,,,,,
December,,,2.61,2.83,1.62,0.22,2.13,2.85,1.21,3.79,1.7,2.79,1.28,1.09,,,,,,
Total,,,21.68,30.63,19.74,17.32,23.96,22.76,18.29,26.76,21.51,22.43,29.12,23.15,,,,,,
