"SOUTH SHIELDS, NORTH MARINE PARK",,,,,,,,,,,,
Grid ref,NZ370675,Long,-1.423127,Lat,55.000705,,,,,,,
Station no,RR6323,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.44,2.41,1.36,0.24,2.11,0.44,1.01,0.62,,
February,,,1.69,0.88,2.13,0.50,0.97,1.06,1.22,1.27,,
March,,,0.82,1.03,0.92,1.35,0.87,0.64,2.25,4.27,,
April,,,1.53,1.49,1.51,1.84,0.61,1.65,2.48,2.77,,
May,,,2.82,1.97,2.51,0.49,5.10,4.30,1.76,1.76,,
June,,,2.33,2.45,1.92,0.65,1.37,2.10,0.69,2.20,,
July,,,2.35,4.83,0.98,1.35,0.50,1.44,2.57,2.27,,
August,,,1.97,1.72,2.63,2.10,3.39,2.56,1.20,2.76,,
September,,,0.63,2.55,0.69,1.41,0.37,0.64,1.52,1.57,,
October,,,2.10,6.73,0.86,3.51,4.32,3.59,1.18,2.61,,
November,,,1.39,1.74,2.61,3.66,2.22,1.49,1.20,0.87,,
December,,,2.61,2.83,1.62,0.22,2.13,2.85,1.21,3.79,,
Total,,,21.68,30.63,19.74,17.32,23.96,22.76,18.29,26.76,,
Calc annual,0.00,0.00,21.68,30.63,19.74,17.32,23.96,22.76,18.29,26.76,,
Difference,NaN,NaN,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
