FARNHAM-WRECCLESHAM-CROWHOLT,,,,,,,,,,,,,,,,,,,,
Grid ref,SU829445,Long,-0.815027,Lat,51.193718,Elevation,360,ft,,,,,,,,,,,,
Station no,197/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.86,6.06,1,0.79,3.73,1.97,1.03,1.98,3.41,4.52,2.21,2.92,2.89,3.49
February,,,,,,,1.63,1.48,1.56,4.15,5.96,0.6,1.46,2.21,1.52,0.97,3.92,2.54,0.23,2.77
March,,,,,,,5.33,1.12,1.51,1.52,4.1,2.59,0.53,2.43,1.07,0.56,1.2,1.48,2.5,1.57
April,,,,,,,2.45,2.35,2.15,3.02,3.19,1.99,2.07,0.27,0.33,0.83,0.35,0.83,2.48,0.71
May,,,,,,,1.51,3.07,2.78,1.58,2.68,2.52,2.26,2.28,3.61,0.14,1.07,2.31,0.9,1.42
June,,,,,,,2.03,2.14,0.49,1.3,1.15,1.28,1.4,2.05,2.29,2.29,1.05,3.84,1.35,1.38
July,,,,,,,1.53,1.13,1.06,4.54,2.25,0.43,2.76,2.54,0.75,3.54,3.78,1.54,3.84,3.07
August,,,,,,,0.45,3.61,0.96,4.34,4.37,2.64,1.32,1.73,1.34,3.35,1.86,4.36,2.55,3.98
September,,,,,,,1.5,1.78,1.45,2.53,2.39,3.21,2.66,2.64,2.31,3.32,2.95,4.4,0.15,3.51
October,,,,,,,0.62,1.92,6.35,0.71,0.9,3.33,4.13,2.52,4.02,1.96,1.96,2.87,2.85,7.42
November,,,,,,,1.4,1.51,2.82,3.76,7.85,3.51,1.61,5.21,2.38,0.94,3.03,2.21,3.81,5.45
December,,,,,,,2.86,4.32,1.54,1.67,2.75,2.73,0.73,2.52,3.2,4.81,2.57,2.89,6.09,3.82
Total,,,,,,,24.17,30.49,23.67,29.91,41.32,26.8,21.96,28.38,26.23,27.23,25.95,32.19,29.64,38.59
,,,,,,,,,,,,,,,,,,,,
Station formerly at Horsham Stn No 471/5,,,,,,,,,,,,,,,,,,,,
1959 Nov 18 Looked at Full access not allowed Looks o/s W-N-E,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Wrecclesham SRC_ID 6352,,,,,,,,,,,,,,,,,,,,
1947-1961,,,,,,,,,,,,,,,,,,,,
