DAER (SWEETSHAW BURN),,,,,,,,,,
Grid ref,NS983090,Long,-3.605995,Lat,55.364432,Elevation,1152,ft,,
Station no,5162/5/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,6.61,11.23,3.31,5.69,6.36,4.22,9.25,8.19,3.84,7.32
February,5.66,3.67,3.07,6.28,2.88,1.63,5.72,7.07,2.24,9.54
March,4.36,4.36,1.13,4.65,4.4,3.41,5.43,3.02,6.27,2.69
April,5.68,3.46,4.15,1.68,2.93,0.99,3.39,2.43,6.29,7.84
May,2.66,3.44,3.94,6.73,4.81,3.47,3.88,5.4,1.68,3.19
June,2.33,3.61,3.89,5.3,3.18,4.77,1.53,3.95,4.57,3.8
July,3.71,3.37,7.96,4.71,2.95,6.47,6.08,5.4,5.74,4.28
August,9.55,5.07,3.95,6.15,2.2,8.11,6.63,5.41,1.59,5.23
September,6.52,2.84,7.33,9.77,5.53,6.03,4.38,7.41,1.52,3.64
October,0.84,7.67,5.79,13.6,4.57,4.8,5.93,5.75,8.07,4.92
November,11.96,4.17,9.85,14.12,4.04,2.64,2.63,2.47,12.01,11.8
December,10.99,5.99,6.51,8.29,8.89,11.56,7.32,6.62,11.36,6.52
Total,70.87,58.88,60.88,86.97,52.74,58.1,62.17,63.12,65.18,70.77
,,,,,,,,,,
BR 1952 P Ja Fe Est,,,,,,,,,,
BR 1955 P Fe Estd,,,,,,,,,,
,,,,,,,,,,
Station no,5162/5/4,,,,,,,,,
Midas,13524,,,,,,,,,
Hyd Stn,650083,,,,,,,,,
