PAISLEY W.W ( MUIRHEAD ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS391571,Long,-4.567135,Lat,55.780367,Elevation,482,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,8.3,3.25,6.94,5.62,4.05,3.68,9.16,5.72,5.21,8.84,4.79,9.21,6.05,1.69,1.94,0.25,7.48,8.01,8.7,5.03,6.12,3.78,4.44,3.59,6.55,4.4,4.7,2.23,7.39,1.13,2.8,1.65,5.72,7.59,5.68,3.54,6.98,9.59,4.59,3.68,6.96,3.85,6.64,5.84,4.52,5.84,4.37,4.22,4.92,5.1,8.36,4.87,7.12,6.29,7.19,10.58,4.74,7.4,7.59,5.33,8.53,8.5,12.24,2.72,8.25,6.83,11.08,5.67,7.54,3.35,4.67,6.3,8.59,5.54,2.74,0.82,8.24,6.6,7.81,3.43,8.04,5.74,7.95,8.4,4.67,5.7,5.63,3.6,5.42,3.03,3.64,7.12,6.32,1.8,4.62
February,,,,,,,4.75,2.85,6,5.12,3.51,6.19,4.16,1.68,1.91,2.17,5.95,6.44,4.41,2.93,6.71,4.66,6.55,5.24,6.77,7.04,2.27,4.48,1.08,3.79,1.02,1.47,2.92,5.69,11.11,0.85,3.81,4.39,4.31,3.12,2.01,1.89,1.52,9.03,3.57,3.48,2.88,4.59,3.79,3.94,6.53,9.04,5.25,4.98,5.56,7.3,6.34,1.15,9.06,1.06,10.15,2.37,6.08,5.16,1.77,4.74,6.81,4.01,6.14,3.44,0.41,5.98,0.02,5.5,0.99,6.85,2.66,6.07,3.7,8.54,2.2,4.01,2,8.92,2.93,10.18,4.52,0.39,6.15,6.8,5.42,3.7,2.82,3.02,5,3.8,1.88,2.95,3.55,2.63,5.18
March,,,,,,,2.15,0.82,4.91,1.1,1.4,3.45,4.41,2.57,5.49,2.37,5.13,3.19,3.44,5.66,3.47,5.52,5.24,0.49,4.26,4.63,4.61,2.56,5.51,2.22,3.74,3.24,1.24,2,4.36,5.36,6.38,5.55,2.34,4.9,0.23,2.88,4.96,8.59,2.91,5.73,4.02,6.47,3.94,2.17,4.04,2.14,6.55,6.31,5.72,3.11,1.52,2.99,2.26,3.99,7.75,11.92,2.5,2.98,0.89,1.92,6.12,5.22,5.95,2.01,3.85,1.61,2.82,4.32,3.43,2.44,3.63,1.23,4.94,4.07,5.78,3.14,3.3,3.5,0.97,4.77,3.38,4.26,5.51,3.25,3.97,4.45,4.82,1.14,2.84,1.89,3.1,5.6,1.33,3.34,2.43
April,,,,,,,1.6,6.18,3.29,2.27,2.06,4.47,1.43,0.34,2.39,2.45,1.78,4.17,3.04,1.97,5.4,0.93,3.43,4.18,1.81,3.32,2.16,3.3,2.78,3.26,1.98,1.69,1.16,2.08,2.36,3.79,2.55,3.08,3.52,5.31,2.68,4.4,1.27,2.22,6.01,3.67,3.12,3.02,2.76,7,5.1,3.65,3.86,4.27,4.19,3.4,4.9,1.84,1.12,3.03,2.26,1.81,2.66,4.73,3.25,6.82,3.55,4.73,2.05,1.69,1.98,2.78,5.44,3.93,4,3.22,1.57,2.39,1.3,3.39,2.72,1.85,2.58,5.02,3.75,2.52,2.98,7.86,4.14,8.16,4.28,2.8,2.78,2.23,2.84,4.21,1.77,3.12,1.39,3.35,5.37
May,,,,,,,,2.95,3.37,1.56,3.24,1.1,3.59,2.79,2.28,2.76,0.92,2.5,2.87,2.82,1.55,2.72,3.29,3.34,4.67,2.42,3.72,1.59,4.25,3.78,3.6,2.11,5.14,3.18,3.17,0.1,0.68,2.86,1.9,3.9,2.69,2.57,2.64,3.59,3.4,2.35,6.76,4.06,4.03,1.89,2.94,3.98,1.91,4.86,2.66,1.32,4.75,3.78,2.45,1.19,6.78,3.02,6.04,2.2,5.5,8.5,3.88,3.16,2.14,4.91,2.86,5.44,3.88,3.2,3.5,0.66,1.59,1.74,4.84,1.56,1.05,2.94,3.35,3.92,5.47,5.76,1.37,4.79,2.16,3.34,1.57,1.94,1.53,2.34,3.29,4.62,3.32,3.07,4.86,1.15,2.38
June,,,,,,,2.1,1.93,2.11,2.18,1.66,4.59,7.41,1.68,2.08,4.42,5.24,5.28,3.03,5.38,2.85,4.11,4.93,2.68,1.64,1.87,1.44,1.21,3.14,0.7,6.11,1.15,4.43,2.47,3.7,2.46,4.38,8.01,2.91,2.56,2.71,3.32,1.7,3.27,2.22,1.52,2.13,6.62,3.79,5,1.84,3.66,6.6,3.85,0.97,3.76,2.69,4.17,1.95,6.34,3.63,0.66,2.55,1.6,3.15,0.88,3.95,5.61,5.74,3.96,3.21,6.64,1.95,2.66,2.67,4.73,2.11,4.19,7.27,2.74,1.1,1.3,2.43,4.92,5.08,4.03,3.38,4.12,5.65,1.07,3.04,2.36,3.86,1.6,4.63,3.79,2.81,2.95,2.9,3.76,3.27
July,,,,,,,2.82,4.93,0.88,3.25,2.91,4.31,4.16,6.18,4.69,2.14,4.02,4.59,0.63,5.12,3.84,4.69,5.37,3.08,5.3,3.12,3.66,3.94,5.46,2.47,4.35,1.35,2.65,3.19,2.83,5.42,5.21,3.62,1.99,4.14,5.16,2.31,4.59,4.51,3.43,4.76,2.65,3.23,4.07,5,5.35,3.41,3.09,1.28,1.98,6.93,3.84,1.42,3.44,1.41,4.78,4.62,4.13,6.31,4.06,2.21,3.69,5.56,4.31,5.62,5.88,4.59,3.66,4.8,3.14,2.55,6.76,5.86,5.52,6.26,3.38,4.17,4.29,3.52,4.59,4.98,4.19,3.9,4.98,2,6.98,4.89,3.72,6.58,4.3,1.69,4.51,5.71,5.4,5.56,4.28
August,,,,,,,4.8,4.28,6,1.14,1.56,3.54,4.8,5.16,6.99,6.13,6.08,7.48,3.51,5.81,0.8,5.43,3.11,7.73,3.97,4.59,2.82,3.7,4.39,6.22,3.4,6.31,10.27,4.23,5.62,6.36,2.7,7.06,6.48,2.12,6.76,7.03,3.77,10.16,5.69,5.53,6.09,6.59,2.4,3.11,10.64,4.18,3.87,2.12,5.46,2.61,5.2,5.05,3.8,3.58,6.65,6.71,4.02,8.46,3.8,4.63,5.39,7.06,6.02,8.42,5.89,2.11,3.37,4.96,5.18,2.32,4.05,3.93,3.38,1.77,2.82,5.69,6.81,7.37,4.27,2.55,3.4,0.05,8.09,5.74,6.06,6.08,5.47,3.5,6.83,1.23,6.51,5.68,4.83,1.42,4.29
September,,,,,,,6,4.83,2.1,8.55,3.64,2.08,7.82,7.25,6.97,5.76,3.21,2.35,7.9,8.01,3.38,3.1,4.86,4.09,4.98,9.67,6.99,5.66,1.38,1.88,7.97,7.04,7.18,3.78,0.12,1.99,5.58,4.31,6.73,5.61,5.74,4.46,3.91,5.5,5.85,4.11,2.86,2.19,9.26,4.11,2.23,4.11,4.07,2.81,3.24,1.33,2.14,5.28,7.65,5.02,3.64,3.04,3.6,9.76,5.1,3.82,3.63,7.12,5.5,2.17,3.8,1.73,7.07,0.73,7.44,7.85,4.67,4.16,5.76,2.56,5.33,2.62,6.72,4.77,6.59,5.95,11.33,5.37,7.72,2.94,11.64,4.11,3.89,7.2,7.42,5.45,5.26,3.89,5.76,1.47,4.05
October,,,,,,,3.3,4.76,6.14,2.03,5.03,3.32,3.88,6.94,11.25,5.84,7.92,7.82,7.77,4.42,0.83,3.22,4.86,7.84,6.25,4.21,4.86,2.53,2.41,4.82,6.4,6.2,5.19,7.66,6.06,4.24,4.39,2.89,5.34,5.34,7.33,5.83,4.22,9.5,3.53,4.46,4.06,10.48,2.39,8.68,2.59,4.84,7.42,3.58,2.57,3,8.95,11.34,9.48,1.47,1.79,5.83,3.38,7.94,4.02,6.01,9.39,7.37,10.81,8.11,8.95,5.21,8.67,3.23,9.89,12.66,8.59,3.35,11.19,2.46,5.86,5.57,9.36,12.2,6.99,7.69,0.42,3.51,9.31,8.01,5.71,1.44,5.89,4.87,11.32,3.37,3.78,6.7,4.77,6.78,3
